Black Body Radiation Experiment Wed, Sep 23, 2020 2:53 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01728
0.00000	-0.01567
0.00000	-0.01728
0.00000	-0.01857
0.00000	-0.02066
0.00000	-0.01776
0.00000	-0.01680
0.00000	-0.01647
0.00000	-0.02018
0.00000	-0.02147
0.00000	-0.02082
0.00000	-0.01776
0.00000	-0.01841
0.00000	-0.02034
0.00000	-0.02292
0.00000	-0.01712
0.00000	-0.02147
0.00000	-0.01970
0.00000	-0.01841
0.00000	-0.01905
0.00000	-0.01873
0.00000	-0.01873
0.00000	-0.01696
0.00000	-0.02098
0.00000	-0.01953
0.00000	-0.01712
0.00000	-0.01841
0.00000	-0.01744
0.00000	-0.02082
0.00000	-0.02131
0.00000	-0.01728
0.00000	-0.01776
0.00000	-0.01857
0.00000	-0.01889
0.00000	-0.01857
0.00000	-0.01390
0.00000	-0.01841
0.00000	-0.01760
0.00000	-0.01825
0.00000	-0.01615
0.00000	-0.01728
0.00000	-0.01873
0.00000	-0.01953
0.00000	-0.01841
0.00000	-0.01776
0.00000	-0.01921
0.00000	-0.01760
0.00000	-0.01760
0.00000	-0.01905
0.00000	-0.01970
0.00000	-0.02147
0.00000	-0.02050
0.00000	-0.01970
0.00000	-0.02211
0.00000	-0.01953
0.00000	-0.01728
0.00000	-0.01535
0.00000	-0.01857
0.00000	-0.01470
0.00000	-0.01873
0.00000	-0.01696
0.00000	-0.01792
0.00000	-0.01953
0.00000	-0.01776
0.00000	-0.01744
0.00000	-0.01551
0.00000	-0.01615
0.00000	-0.01615
0.00000	-0.01905
0.00000	-0.02098
0.00000	-0.01776
0.00000	-0.01567
0.00000	-0.01905
0.00000	-0.01776
0.00000	-0.01631
0.00000	-0.01921
0.00000	-0.01728
0.00000	-0.01663
0.00000	-0.01696
0.00000	-0.01937
0.00000	-0.02292
0.00000	-0.01776
0.00000	-0.01631
0.00000	-0.02098
0.00000	-0.01744
0.00000	-0.01631
0.00000	-0.02002
0.00000	-0.01663
0.00000	-0.01535
0.00000	-0.01647
0.00000	-0.02549
0.00000	-0.01535
0.00000	-0.01857
0.00000	-0.02082
0.00000	-0.01889
0.00000	-0.01873
0.00000	-0.02098
0.00000	-0.01293
0.00000	-0.01406
0.00000	-0.01422
0.00000	-0.01567
0.00000	-0.02034
0.00000	-0.01647
0.00000	-0.02098
0.00000	-0.01953
0.00000	-0.01921
0.00000	-0.01535
0.00000	-0.01663
0.00000	-0.01567
0.00000	-0.01615
0.00000	-0.01680
0.00000	-0.01567
0.00000	-0.01760
0.00000	-0.01953
0.00000	-0.01712
0.00000	-0.01889
0.00000	-0.01615
0.00000	-0.01647
0.00000	-0.01631
0.00000	-0.01841
0.00000	-0.01744
