Black Body Radiation Experiment Wed, Sep 23, 2020 2:41 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02566
0.00000	-0.02646
0.00000	-0.02775
0.00000	-0.02920
0.00000	-0.02839
0.00000	-0.02517
0.00000	-0.02356
0.00000	-0.02888
0.00000	-0.03097
0.00000	-0.02614
0.00000	-0.02614
0.00000	-0.02791
0.00000	-0.02533
0.00000	-0.02533
0.00000	-0.02807
0.00000	-0.02872
0.00000	-0.02856
0.00000	-0.02856
0.00000	-0.03194
0.00000	-0.02823
0.00000	-0.02791
0.00000	-0.02791
0.00000	-0.02549
0.00000	-0.02856
0.00000	-0.02646
0.00000	-0.02292
0.00000	-0.02549
0.00000	-0.03033
0.00000	-0.02775
0.00000	-0.02678
0.00000	-0.02388
0.00000	-0.02614
0.00000	-0.02872
0.00000	-0.02646
0.00000	-0.02759
0.00000	-0.02775
0.00000	-0.02807
0.00000	-0.02791
0.00000	-0.02388
0.00000	-0.02694
0.00000	-0.03419
0.00000	-0.02984
0.00000	-0.02807
0.00000	-0.02694
0.00000	-0.03081
0.00000	-0.03194
0.00000	-0.02872
0.00000	-0.02759
0.00000	-0.02888
0.00000	-0.02807
0.00000	-0.02694
0.00000	-0.02549
0.00000	-0.02662
0.00000	-0.02598
0.00000	-0.03307
0.00000	-0.02904
0.00000	-0.03049
0.00000	-0.02823
0.00000	-0.02888
0.00000	-0.02549
0.00000	-0.02856
0.00000	-0.03017
0.00000	-0.03065
0.00000	-0.02807
0.00000	-0.03065
0.00000	-0.02711
0.00000	-0.02839
0.00000	-0.02823
0.00000	-0.02614
0.00000	-0.03081
0.00000	-0.02646
0.00000	-0.02646
0.00000	-0.02501
0.00000	-0.02743
0.00000	-0.02598
0.00000	-0.02404
0.00000	-0.02485
0.00000	-0.02743
0.00000	-0.02839
0.00000	-0.02517
0.00000	-0.02888
0.00000	-0.02807
0.00000	-0.03001
0.00000	-0.02259
0.00000	-0.02501
0.00000	-0.02582
0.00000	-0.02839
0.00000	-0.02920
0.00000	-0.02743
0.00000	-0.02888
0.00000	-0.03162
0.00000	-0.02807
0.00000	-0.02566
0.00000	-0.02823
0.00000	-0.03017
0.00000	-0.02743
0.00000	-0.02646
0.00000	-0.02743
0.01035	-0.03049
0.01035	-0.02711
0.01035	-0.02372
0.01035	-0.02566
0.02070	-0.02356
0.05174	-0.02984
0.08279	-0.02662
0.09313	-0.02968
0.11383	-0.02775
0.12418	-0.02807
0.13453	-0.02856
0.14487	-0.02662
0.15522	-0.02485
0.15522	-0.02743
0.15522	-0.02936
0.16557	-0.02727
0.16557	-0.02517
0.17592	-0.02920
0.18627	-0.02533
0.20696	-0.02582
0.22766	-0.02630
0.26905	-0.02404
0.31045	-0.03017
0.36219	-0.02904
0.40358	-0.02727
0.42428	-0.02453
0.45532	-0.02533
0.47602	-0.02598
0.49671	-0.02678
0.50706	-0.02952
0.50706	-0.02888
0.52776	-0.02904
0.53811	-0.02678
0.55880	-0.03081
0.57950	-0.02533
0.61054	-0.03146
0.65194	-0.03113
0.69333	-0.03194
0.73472	-0.02759
0.76577	-0.02549
0.79681	-0.02356
0.83820	-0.02517
0.87960	-0.02662
0.91064	-0.02453
0.95203	-0.02533
0.97273	-0.02968
0.99343	-0.02888
1.01412	-0.02888
1.03482	-0.02501
1.04517	-0.02421
1.06586	-0.02743
1.08656	-0.02533
1.10726	-0.02549
1.11761	-0.02775
1.13830	-0.02856
1.14865	-0.02404
1.15900	-0.02678
1.17969	-0.02356
1.20039	-0.02678
1.22109	-0.02276
1.24178	-0.02582
1.27283	-0.02388
1.29352	-0.02485
1.31422	-0.02711
1.33492	-0.02388
1.35561	-0.02243
1.37631	-0.02549
1.39701	-0.02566
1.41770	-0.02259
1.43840	-0.02694
1.46944	-0.02807
1.50049	-0.02485
1.52118	-0.02630
1.54188	-0.02694
1.56258	-0.02630
1.59362	-0.02227
1.62467	-0.02324
1.68676	-0.02743
1.73850	-0.02839
1.77989	-0.02501
1.83163	-0.02662
1.86268	-0.02678
1.88337	-0.02662
1.90407	-0.02485
1.92476	-0.02711
1.93511	-0.02662
1.95581	-0.02678
1.97651	-0.03033
2.01790	-0.02791
2.04894	-0.02485
2.09034	-0.03033
2.12138	-0.02727
2.17312	-0.02791
2.21451	-0.02533
2.26625	-0.02743
2.31800	-0.02485
2.38009	-0.03033
2.42148	-0.02775
2.46287	-0.02485
2.50426	-0.02453
2.54566	-0.02775
2.59740	-0.02694
2.63879	-0.02582
2.66983	-0.02485
2.70088	-0.02598
2.72158	-0.02050
2.73192	-0.02759
