Black Body Radiation Experiment Wed, Sep 23, 2020 2:45 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.04467
0.00000	-0.04612
0.00000	-0.04225
0.00000	-0.04434
0.00000	-0.04257
0.00000	-0.04257
0.00000	-0.04112
0.00000	-0.04273
0.00000	-0.04177
0.00000	-0.04692
0.00000	-0.04434
0.00000	-0.03854
0.00000	-0.04531
0.00000	-0.04676
0.00000	-0.04225
0.00000	-0.04015
0.00000	-0.04160
0.00000	-0.04499
0.00000	-0.04547
0.00000	-0.04048
0.00000	-0.04177
0.00000	-0.04338
0.00000	-0.04756
0.00000	-0.04112
0.00000	-0.04144
0.00000	-0.04015
0.00000	-0.05030
0.00000	-0.04241
0.00000	-0.04289
0.00000	-0.03999
0.00000	-0.04644
0.00000	-0.04096
0.00000	-0.04209
0.00000	-0.04579
0.00000	-0.04450
0.00000	-0.04612
0.00000	-0.04531
0.00000	-0.04515
0.00000	-0.04499
0.00000	-0.04096
0.00000	-0.04402
0.00000	-0.04837
0.00000	-0.04354
0.00000	-0.04354
0.00000	-0.04209
0.00000	-0.04112
0.00000	-0.04402
0.00000	-0.04402
0.00000	-0.04322
0.00000	-0.04305
0.00000	-0.04579
0.00000	-0.04273
0.00000	-0.04225
0.00000	-0.04692
0.00000	-0.04273
0.00000	-0.04756
0.00000	-0.04096
0.00000	-0.04676
0.00000	-0.04241
0.00000	-0.04096
0.00000	-0.04015
0.00000	-0.04660
0.00000	-0.04241
0.00000	-0.04724
0.00000	-0.03999
0.00000	-0.04225
0.00000	-0.04402
0.00000	-0.04338
0.00000	-0.04048
0.00000	-0.04354
0.00000	-0.04499
0.00000	-0.03999
0.00000	-0.03935
0.00000	-0.04080
0.00000	-0.04257
0.00000	-0.04112
0.00000	-0.04370
0.00000	-0.04354
0.00000	-0.04144
0.00000	-0.03790
0.00000	-0.03983
0.00000	-0.04048
0.00000	-0.04628
0.00000	-0.04032
0.00000	-0.03903
0.00000	-0.04273
0.00000	-0.04241
0.00000	-0.04064
0.00000	-0.03854
0.00000	-0.03677
0.00000	-0.04241
0.00000	-0.04193
0.00000	-0.04338
0.00000	-0.03999
0.00000	-0.04144
0.00000	-0.04128
0.00000	-0.04450
0.00000	-0.03887
0.00000	-0.04322
0.00000	-0.04499
0.00000	-0.04467
0.00000	-0.04467
0.00000	-0.04177
0.00000	-0.04080
0.00000	-0.04177
0.00000	-0.04160
0.00000	-0.04595
0.00000	-0.04112
0.00000	-0.04032
0.00000	-0.04354
0.00000	-0.04708
0.00000	-0.04338
0.00000	-0.04160
0.00000	-0.04193
0.00000	-0.04499
0.00000	-0.04015
0.00000	-0.03951
0.00000	-0.03742
0.00000	-0.03790
0.00000	-0.03999
0.00000	-0.03999
0.00000	-0.04177
0.00000	-0.04048
0.00000	-0.03935
0.00000	-0.04434
0.00000	-0.04225
0.00000	-0.04112
0.00000	-0.03854
0.00000	-0.04467
0.00000	-0.04322
0.00000	-0.04064
0.00000	-0.03887
0.00000	-0.04209
0.00000	-0.04080
0.00000	-0.04225
0.00000	-0.04112
0.00000	-0.04209
0.00000	-0.04193
0.00000	-0.03774
0.00000	-0.03951
0.00000	-0.04273
0.00000	-0.04467
0.00000	-0.04096
0.00000	-0.04096
0.00000	-0.03999
0.00000	-0.04370
0.00000	-0.04531
0.00000	-0.04096
0.00000	-0.04322
0.00000	-0.03580
0.00000	-0.03790
0.00000	-0.03919
0.00000	-0.04467
0.01035	-0.04112
0.01035	-0.04289
0.01035	-0.04177
0.01035	-0.04128
0.01035	-0.04338
0.01035	-0.04289
0.01035	-0.04225
0.01035	-0.04225
0.02070	-0.04032
0.02070	-0.04193
0.02070	-0.04450
0.03104	-0.04096
0.04139	-0.04144
0.05174	-0.04434
0.05174	-0.03999
0.05174	-0.04160
0.05174	-0.03967
0.05174	-0.04354
0.05174	-0.04160
0.05174	-0.04467
0.05174	-0.03677
0.05174	-0.04032
0.05174	-0.04048
0.05174	-0.04257
0.05174	-0.04144
0.05174	-0.03935
0.05174	-0.04467
0.05174	-0.03758
0.05174	-0.04177
0.05174	-0.03999
0.05174	-0.04080
0.05174	-0.04628
0.05174	-0.04096
0.05174	-0.04032
0.05174	-0.04128
0.05174	-0.04080
0.05174	-0.04241
0.05174	-0.04402
0.04139	-0.04225
0.04139	-0.04209
0.04139	-0.04112
0.04139	-0.03951
0.04139	-0.04531
0.04139	-0.04241
0.04139	-0.03725
0.04139	-0.04048
0.04139	-0.04193
0.04139	-0.04322
0.04139	-0.04112
0.04139	-0.03951
0.04139	-0.04434
0.04139	-0.03967
0.04139	-0.04322
0.04139	-0.03854
0.04139	-0.04322
0.04139	-0.04257
0.04139	-0.03903
0.04139	-0.03919
0.04139	-0.03838
0.04139	-0.04499
0.04139	-0.03613
0.04139	-0.03887
0.04139	-0.03935
0.04139	-0.03903
0.04139	-0.04177
0.04139	-0.04225
0.04139	-0.03999
0.04139	-0.03854
0.04139	-0.04467
0.04139	-0.03742
0.04139	-0.04257
0.05174	-0.04160
0.05174	-0.04193
0.06209	-0.03742
0.09313	-0.04354
0.12418	-0.04177
0.14487	-0.03919
0.17592	-0.04193
0.21731	-0.04418
0.25870	-0.04064
0.31045	-0.04338
0.35184	-0.03709
0.40358	-0.04305
0.45532	-0.03999
0.50706	-0.04128
0.55880	-0.03870
0.61054	-0.03983
0.66228	-0.04193
0.71403	-0.04064
0.74507	-0.04370
0.79681	-0.03629
0.84855	-0.03903
0.90029	-0.03548
0.96238	-0.04209
1.05552	-0.03725
1.11761	-0.04128
1.16935	-0.04289
1.23144	-0.04096
1.28318	-0.04241
1.33492	-0.03774
1.39701	-0.03983
1.45910	-0.03645
1.51084	-0.03564
1.56258	-0.03500
1.61432	-0.03838
1.68676	-0.04160
1.75919	-0.03999
1.83163	-0.03999
1.89372	-0.03903
1.94546	-0.04032
2.00755	-0.04032
2.07999	-0.03999
2.12138	-0.03532
2.19382	-0.04209
2.26625	-0.03919
2.32834	-0.03951
2.38009	-0.03903
2.43183	-0.03758
2.47322	-0.04064
2.52496	-0.03935
2.57670	-0.04177
2.62844	-0.03903
2.69053	-0.04241
2.74227	-0.03870
2.79401	-0.04112
2.84575	-0.03742
2.87680	-0.04096
2.91819	-0.04289
2.96993	-0.04209
3.01133	-0.03742
3.06307	-0.03661
3.11481	-0.03677
3.15620	-0.04128
3.19759	-0.03838
3.24933	-0.03548
3.28038	-0.03661
3.31142	-0.03967
3.34247	-0.03951
3.38386	-0.03838
3.42525	-0.03661
3.47699	-0.03935
3.50804	-0.04032
3.54943	-0.04177
3.58048	-0.03967
3.61152	-0.03725
3.65291	-0.04015
3.69431	-0.03935
3.73570	-0.04048
3.79779	-0.03822
3.83918	-0.03693
3.88057	-0.03564
3.92197	-0.03983
3.97371	-0.04128
4.02545	-0.04096
4.07719	-0.03790
4.11858	-0.03403
4.17032	-0.04064
4.23241	-0.03806
4.29450	-0.04209
4.34624	-0.04289
4.41868	-0.04032
4.47042	-0.03887
4.52216	-0.03758
4.56355	-0.03967
4.61530	-0.04305
4.65669	-0.03838
4.70843	-0.03709
4.74982	-0.03999
4.79121	-0.03822
4.84296	-0.03838
4.87400	-0.03758
4.91539	-0.03709
4.94644	-0.03774
4.97748	-0.04048
4.99818	-0.03999
5.02922	-0.04209
5.04992	-0.03693
5.08096	-0.04289
5.11201	-0.03919
5.13271	-0.03564
5.16375	-0.04160
5.18445	-0.03629
5.21549	-0.03854
5.25688	-0.03468
5.28793	-0.03307
5.32932	-0.03500
5.39141	-0.03677
5.44315	-0.03548
5.47420	-0.03661
5.50524	-0.03371
5.55698	-0.03822
5.60872	-0.03629
5.65012	-0.03838
5.69151	-0.03709
5.74325	-0.03822
5.79499	-0.03436
5.83638	-0.03758
5.88812	-0.03597
5.92952	-0.04048
5.97091	-0.03500
6.02265	-0.03935
6.07439	-0.04048
6.11578	-0.04032
6.16752	-0.03838
6.21927	-0.03854
6.28136	-0.03661
6.33310	-0.03999
6.38484	-0.03661
6.43658	-0.03935
6.49867	-0.03999
6.55041	-0.04096
6.60215	-0.03838
6.64354	-0.03806
6.69528	-0.03822
6.73668	-0.04032
6.77807	-0.04193
6.80911	-0.04064
6.85051	-0.04160
6.88155	-0.03774
6.92294	-0.03709
6.97468	-0.03790
7.01608	-0.03935
7.05747	-0.03806
7.09886	-0.03854
7.11956	-0.04273
7.15060	-0.03677
7.18165	-0.03983
7.22304	-0.04015
7.24374	-0.04177
7.27478	-0.03564
7.30583	-0.03645
7.34722	-0.03903
7.37826	-0.03774
7.40931	-0.03564
7.43000	-0.03677
7.47140	-0.03742
7.50244	-0.04273
7.53349	-0.03629
7.56453	-0.03935
7.59558	-0.04015
7.63697	-0.03645
7.67836	-0.03468
7.73010	-0.03548
7.78184	-0.03806
7.83358	-0.03629
7.88533	-0.04015
7.93707	-0.03484
7.99916	-0.04064
8.04055	-0.03774
8.09229	-0.04064
8.14403	-0.03774
8.19577	-0.04032
8.23716	-0.03951
8.27856	-0.03661
8.31995	-0.03967
8.36134	-0.04305
8.39239	-0.03677
8.42343	-0.03580
8.45448	-0.04064
8.47517	-0.03870
8.50622	-0.03645
8.52691	-0.03661
8.55796	-0.03903
8.57865	-0.03709
8.60970	-0.03693
8.66144	-0.03951
8.70283	-0.03645
8.73388	-0.03532
8.76492	-0.03903
8.80631	-0.03709
8.84771	-0.03597
8.89945	-0.03742
8.96154	-0.03564
9.01328	-0.04193
9.06502	-0.03903
9.10641	-0.03742
9.15815	-0.03725
9.20989	-0.03661
9.27198	-0.03870
9.33407	-0.03919
9.39616	-0.03983
9.44790	-0.03935
9.50999	-0.03854
9.57208	-0.03790
9.64452	-0.03725
9.71696	-0.03580
9.79974	-0.03580
9.89288	-0.04273
9.95496	-0.04257
10.03775	-0.03822
10.11019	-0.04064
10.18262	-0.03613
10.24471	-0.03597
10.29646	-0.03371
10.34820	-0.03452
10.39994	-0.03339
10.45168	-0.03951
10.50342	-0.03564
10.55516	-0.03870
10.61725	-0.03935
10.68969	-0.04160
10.76212	-0.04193
10.82421	-0.04048
10.89665	-0.03709
10.95874	-0.03500
11.03118	-0.03484
11.09327	-0.03661
11.16570	-0.03564
11.21744	-0.03661
11.28988	-0.03903
11.35197	-0.03935
11.40371	-0.04064
11.45545	-0.03774
11.50719	-0.03081
11.55894	-0.03645
11.62102	-0.03419
11.66242	-0.03677
11.70381	-0.03226
11.73485	-0.03774
11.77625	-0.03468
11.81764	-0.03113
11.85903	-0.03500
11.91077	-0.03403
11.96251	-0.03564
12.01426	-0.03323
12.05565	-0.03339
12.11774	-0.03661
12.16948	-0.03725
12.24192	-0.03323
12.30401	-0.03436
12.36609	-0.03629
12.42818	-0.03097
12.47992	-0.03178
12.54201	-0.03419
12.59375	-0.03677
12.64550	-0.03355
12.69724	-0.03065
12.74898	-0.03307
12.80072	-0.03065
12.86281	-0.03049
12.90420	-0.02872
12.96629	-0.02662
13.03873	-0.02582
13.12151	-0.02823
13.21465	-0.02404
13.27674	-0.01953
13.36987	-0.02356
13.44231	-0.01873
13.49405	-0.02082
13.56649	-0.01857
13.61823	-0.01067
13.66997	-0.01261
13.73206	-0.01373
13.76310	-0.00520
13.80449	-0.00487
13.86658	-0.00052
13.89763	0.00254
13.95972	0.00270
14.03215	0.00560
14.08389	0.00415
14.16668	0.01397
14.23912	0.01236
14.34260	0.02300
14.40469	0.03153
14.49782	0.04007
14.58061	0.04329
14.66339	0.05215
14.72548	0.05715
14.80827	0.06440
14.88071	0.06987
14.94280	0.07777
15.02558	0.08421
15.09802	0.09130
15.17046	0.09565
15.25324	0.09871
15.33603	0.10451
15.38777	0.10419
15.46020	0.10934
15.51195	0.10483
15.59473	0.10950
15.64647	0.11385
15.69821	0.11224
15.76030	0.10999
15.81204	0.11063
15.86378	0.10999
15.92587	0.10451
15.98796	0.10805
16.03970	0.10661
16.10179	0.10032
16.15353	0.10000
16.21562	0.09130
16.26736	0.09066
16.30876	0.08325
16.35015	0.08131
16.39154	0.07712
16.44328	0.06971
16.48468	0.06762
16.52607	0.06665
16.56746	0.06295
16.60885	0.05586
