Black Body Radiation Experiment Wed, Sep 23, 2020 2:33 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.03266
0.00000	0.03443
0.00000	0.02976
0.00000	0.02880
0.00000	0.03073
0.00000	0.03202
0.00000	0.03218
0.00000	0.03169
0.01035	0.03008
0.01035	0.03282
0.01035	0.03492
0.01035	0.03395
0.01035	0.03524
0.01035	0.03186
0.01035	0.03379
0.01035	0.03314
0.01035	0.03298
0.01035	0.03395
0.01035	0.02928
0.01035	0.02976
0.01035	0.03347
0.01035	0.03331
0.01035	0.03137
0.02070	0.03282
0.02070	0.03057
0.02070	0.03379
0.02070	0.03685
0.02070	0.03637
0.02070	0.03379
0.02070	0.03331
0.02070	0.03363
0.03104	0.03331
0.03104	0.03476
0.03104	0.03379
0.03104	0.03057
0.03104	0.03234
0.03104	0.03637
0.03104	0.03073
0.03104	0.03379
0.04139	0.03169
0.04139	0.03314
0.04139	0.03572
0.04139	0.03459
0.04139	0.03057
0.04139	0.03379
0.04139	0.03282
0.04139	0.03121
0.04139	0.03186
0.04139	0.03459
0.04139	0.03073
0.04139	0.03153
0.04139	0.03153
0.05174	0.03186
0.05174	0.02863
0.05174	0.03202
0.05174	0.03105
0.05174	0.03073
0.05174	0.03234
0.05174	0.02896
0.05174	0.02654
0.05174	0.03427
0.05174	0.03234
0.06209	0.03476
0.06209	0.02928
0.06209	0.03105
0.06209	0.03395
0.06209	0.03266
0.06209	0.03024
0.06209	0.03476
0.06209	0.03073
0.06209	0.02928
0.06209	0.03411
0.06209	0.03492
0.06209	0.03314
0.06209	0.02896
0.06209	0.03169
0.06209	0.03282
0.07244	0.03105
0.07244	0.03540
0.07244	0.03008
0.07244	0.03073
0.07244	0.03250
0.07244	0.03121
0.07244	0.02928
0.07244	0.03266
0.07244	0.03298
0.07244	0.03218
0.07244	0.03153
0.07244	0.03121
0.08279	0.03492
0.08279	0.03556
0.08279	0.03024
0.08279	0.03379
0.08279	0.03121
0.08279	0.03314
0.08279	0.02896
0.08279	0.02896
0.08279	0.03298
0.08279	0.02880
0.09313	0.02976
0.09313	0.03427
0.09313	0.03476
0.09313	0.03492
0.09313	0.02863
0.10348	0.02735
0.10348	0.03153
0.14487	0.03137
0.35184	0.03121
0.53811	0.03250
0.54845	0.03282
0.55880	0.03186
0.56915	0.03298
0.55880	0.02928
0.55880	0.03041
0.55880	0.02960
0.55880	0.02799
0.55880	0.03331
0.55880	0.03137
0.55880	0.02896
0.55880	0.03089
0.55880	0.03250
0.55880	0.03057
0.55880	0.03282
0.55880	0.03137
0.55880	0.03218
0.55880	0.02960
0.56915	0.03331
0.56915	0.03057
0.56915	0.03073
0.56915	0.03298
0.56915	0.03057
0.56915	0.03169
0.56915	0.03057
0.56915	0.03379
0.56915	0.03314
0.56915	0.03476
0.56915	0.02686
0.57950	0.03137
0.57950	0.03717
0.57950	0.03089
0.57950	0.02944
0.57950	0.02783
0.57950	0.03008
0.57950	0.02767
0.57950	0.03234
0.57950	0.02960
0.57950	0.02880
0.57950	0.03089
0.57950	0.03041
0.58985	0.03331
0.58985	0.03024
0.58985	0.03121
0.58985	0.02638
0.58985	0.02896
0.58985	0.02799
0.58985	0.03202
0.58985	0.02976
0.58985	0.03073
0.58985	0.03169
0.58985	0.03153
0.60020	0.02735
0.60020	0.03169
0.60020	0.02863
0.60020	0.03282
0.60020	0.03041
0.60020	0.03234
0.60020	0.03298
0.60020	0.03089
0.60020	0.03186
0.61054	0.03024
0.61054	0.02751
0.61054	0.02912
0.61054	0.03202
0.61054	0.03137
0.61054	0.02896
0.62089	0.03363
0.62089	0.03024
0.62089	0.02928
0.62089	0.03314
0.62089	0.03008
0.63124	0.02976
0.73472	0.03073
1.13830	0.02863
1.28318	0.03427
1.32457	0.03121
1.44875	0.02992
1.64536	0.03282
1.79024	0.02928
1.86268	0.03105
1.90407	0.03186
1.89372	0.02831
1.90407	0.03121
1.90407	0.03008
1.90407	0.03073
1.90407	0.03379
1.90407	0.02976
1.90407	0.03153
1.90407	0.02928
1.90407	0.03234
1.90407	0.02799
1.90407	0.03057
1.90407	0.03476
1.90407	0.03041
1.90407	0.03186
1.90407	0.03057
1.90407	0.02992
1.91442	0.03169
1.91442	0.03427
1.91442	0.03153
1.91442	0.03202
1.91442	0.03121
1.92476	0.03186
1.92476	0.03298
1.92476	0.03234
1.93511	0.02880
1.93511	0.02654
2.06964	0.02880
2.28695	0.03379
2.38009	0.02783
2.39043	0.03250
2.43183	0.03363
2.54566	0.03186
2.63879	0.03057
2.69053	0.02606
2.73192	0.03057
2.77332	0.03169
2.82506	0.03137
2.89749	0.02783
2.94924	0.03024
2.96993	0.02960
3.02167	0.03057
3.10446	0.02880
3.21829	0.02863
3.31142	0.03121
3.40456	0.03089
3.50804	0.02880
3.61152	0.03057
3.71500	0.03234
3.84953	0.03137
3.96336	0.03186
4.03580	0.03331
4.07719	0.03476
4.12893	0.03411
4.17032	0.03041
4.21172	0.03347
4.27380	0.03459
4.34624	0.03008
4.42903	0.03137
4.52216	0.03459
4.58425	0.03008
4.62564	0.03234
4.67738	0.03363
4.73947	0.02783
4.80156	0.02654
4.84296	0.03282
4.87400	0.03057
