Black Body Radiation Experiment Wed, Sep 23, 2020 2:31 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01373
0.00000	-0.01486
0.00000	-0.01148
0.00000	-0.01148
0.00000	-0.01116
0.00000	-0.01454
0.00000	-0.01599
0.00000	-0.00987
0.00000	-0.01277
0.00000	-0.00713
0.00000	-0.00971
0.00000	-0.00713
0.00000	-0.01293
0.00000	-0.01293
0.00000	-0.01293
0.00000	-0.01132
0.00000	-0.01116
0.00000	-0.00874
0.00000	-0.00906
0.00000	-0.00632
0.00000	-0.01051
0.00000	-0.01212
0.00000	-0.00729
0.00000	-0.00858
0.00000	-0.00955
0.01035	-0.00681
0.01035	-0.01132
0.01035	-0.00681
0.01035	-0.01083
0.01035	-0.00906
0.01035	-0.00761
0.02070	-0.00971
0.02070	-0.00922
0.03104	-0.00568
0.03104	-0.00890
0.04139	-0.00938
0.05174	-0.00649
0.06209	-0.01164
0.07244	-0.00874
0.08279	-0.01035
0.10348	-0.00922
0.11383	-0.00858
0.13453	-0.01245
0.15522	-0.00616
0.16557	-0.00890
0.19662	-0.01051
0.21731	-0.00745
0.24836	-0.00987
0.26905	-0.00810
0.27940	-0.00600
0.28975	-0.00455
0.31045	-0.00922
0.34149	-0.01083
0.37254	-0.00810
0.40358	-0.00777
0.41393	-0.00922
0.43462	-0.00745
0.44497	-0.00713
0.47602	-0.01132
0.49671	-0.00890
0.51741	-0.00649
0.53811	-0.00890
0.54845	-0.00487
0.56915	-0.00890
0.58985	-0.00971
0.61054	-0.00697
0.63124	-0.01035
0.65194	-0.01083
0.68298	-0.00649
0.70368	-0.00874
0.73472	-0.01132
0.77611	-0.01148
0.80716	-0.00858
0.83820	-0.00407
0.86925	-0.00294
0.91064	-0.00697
0.96238	-0.00971
0.98308	-0.00761
1.01412	-0.01067
1.03482	-0.01196
1.05552	-0.00955
1.07621	-0.00745
1.09691	-0.00794
1.11761	-0.00794
1.13830	-0.00971
1.15900	-0.00810
1.19004	-0.00842
