Black Body Radiation Experiment Wed, Sep 23, 2020 3:03 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02711
0.00000	-0.03129
0.00000	-0.02839
0.00000	-0.03017
0.00000	-0.02839
0.00000	-0.03146
0.00000	-0.02920
0.00000	-0.02823
0.00000	-0.03387
0.00000	-0.03242
0.00000	-0.03065
0.00000	-0.03371
0.00000	-0.02743
0.00000	-0.02984
0.00000	-0.03146
0.00000	-0.03146
0.00000	-0.02694
0.00000	-0.03516
0.00000	-0.03129
0.00000	-0.02807
0.00000	-0.03049
0.00000	-0.03081
0.00000	-0.03081
0.00000	-0.03194
0.00000	-0.03113
0.00000	-0.03129
0.00000	-0.02823
0.00000	-0.03210
0.00000	-0.02936
0.00000	-0.02711
0.00000	-0.03194
0.00000	-0.02936
0.00000	-0.02904
0.00000	-0.03001
0.00000	-0.03516
0.00000	-0.03113
0.00000	-0.02920
0.00000	-0.03339
0.00000	-0.03146
0.00000	-0.02920
0.00000	-0.03371
0.00000	-0.03307
0.00000	-0.02856
0.00000	-0.02888
0.00000	-0.03452
0.00000	-0.03178
0.00000	-0.02936
0.00000	-0.03339
0.00000	-0.03210
0.00000	-0.03274
0.00000	-0.03419
0.00000	-0.03436
0.00000	-0.03580
0.00000	-0.03242
0.00000	-0.02952
0.00000	-0.02646
0.00000	-0.02952
0.00000	-0.02807
0.00000	-0.03065
0.00000	-0.02711
0.00000	-0.03291
0.00000	-0.03210
0.00000	-0.02646
0.00000	-0.03097
0.00000	-0.02759
0.00000	-0.03645
0.00000	-0.03339
0.00000	-0.02856
0.00000	-0.02856
0.00000	-0.03065
0.00000	-0.03162
0.00000	-0.03129
0.00000	-0.03081
0.00000	-0.02549
0.00000	-0.03129
0.00000	-0.03339
0.00000	-0.02694
0.00000	-0.03210
0.00000	-0.02872
0.00000	-0.03129
0.00000	-0.02936
0.00000	-0.02743
0.00000	-0.03226
0.00000	-0.02984
0.00000	-0.03065
0.00000	-0.02856
0.00000	-0.02936
0.00000	-0.03001
0.00000	-0.03097
0.00000	-0.02968
0.00000	-0.03049
0.00000	-0.03258
0.00000	-0.03226
0.00000	-0.03081
0.00000	-0.03065
0.00000	-0.02984
0.00000	-0.02952
0.00000	-0.02711
0.00000	-0.02775
0.00000	-0.03258
0.00000	-0.02759
0.00000	-0.02904
0.00000	-0.03097
0.00000	-0.02968
0.00000	-0.02936
0.00000	-0.03419
0.00000	-0.02630
0.00000	-0.03226
0.00000	-0.02614
0.00000	-0.02952
0.00000	-0.03081
0.00000	-0.02566
0.00000	-0.02856
0.00000	-0.03033
0.00000	-0.02984
0.00000	-0.02936
0.00000	-0.02856
0.00000	-0.02856
0.00000	-0.02533
0.00000	-0.02920
0.00000	-0.02904
0.00000	-0.02775
0.00000	-0.02872
0.00000	-0.03081
0.00000	-0.02775
0.00000	-0.02598
0.00000	-0.03001
0.00000	-0.02727
0.00000	-0.02888
0.00000	-0.02984
0.00000	-0.03017
0.00000	-0.02839
0.00000	-0.02775
0.00000	-0.03146
0.00000	-0.03129
0.00000	-0.02936
0.00000	-0.02904
0.00000	-0.02952
0.00000	-0.02727
0.00000	-0.02614
0.00000	-0.02791
0.00000	-0.02920
0.00000	-0.02743
0.00000	-0.03065
0.00000	-0.03081
0.00000	-0.02952
0.00000	-0.03113
0.00000	-0.02823
0.00000	-0.02694
0.00000	-0.02920
0.00000	-0.02775
0.00000	-0.02984
0.00000	-0.02920
0.00000	-0.02936
0.00000	-0.02566
0.00000	-0.02727
0.00000	-0.03001
0.00000	-0.02727
0.00000	-0.03065
0.00000	-0.02968
0.00000	-0.02388
0.01035	-0.02727
0.01035	-0.02823
0.01035	-0.02904
0.01035	-0.02759
0.01035	-0.02888
0.01035	-0.02952
0.01035	-0.02211
0.01035	-0.02904
0.01035	-0.02968
0.01035	-0.02807
0.01035	-0.02791
0.01035	-0.02227
0.01035	-0.02678
0.02070	-0.02727
0.02070	-0.02791
0.03104	-0.02549
0.04139	-0.02872
0.04139	-0.02662
0.04139	-0.02791
0.04139	-0.02678
0.04139	-0.03017
0.04139	-0.02791
0.04139	-0.02904
0.04139	-0.03146
0.04139	-0.02630
0.04139	-0.02856
0.04139	-0.02711
0.04139	-0.02775
0.04139	-0.03081
0.04139	-0.02517
0.04139	-0.02743
0.03104	-0.02662
0.03104	-0.02775
0.03104	-0.02614
0.03104	-0.02984
0.03104	-0.02775
0.03104	-0.02856
0.03104	-0.02292
0.02070	-0.02517
0.02070	-0.02807
0.02070	-0.02340
0.02070	-0.02340
0.02070	-0.02485
0.02070	-0.02614
0.02070	-0.03017
0.02070	-0.02775
0.02070	-0.02694
0.02070	-0.02598
0.02070	-0.02034
0.02070	-0.02469
0.01035	-0.02694
0.01035	-0.02952
0.01035	-0.02324
0.01035	-0.02711
0.01035	-0.03017
0.01035	-0.02678
0.01035	-0.02952
0.01035	-0.02533
0.01035	-0.02630
0.01035	-0.02678
0.01035	-0.02356
0.01035	-0.02678
0.01035	-0.02485
0.01035	-0.02904
0.01035	-0.02904
0.01035	-0.02662
0.01035	-0.02678
0.01035	-0.02566
0.01035	-0.02404
0.01035	-0.02630
0.01035	-0.02421
0.01035	-0.02872
0.01035	-0.02694
0.01035	-0.02485
0.01035	-0.02727
0.01035	-0.02775
0.01035	-0.02404
0.01035	-0.02356
0.01035	-0.02791
0.01035	-0.02324
0.02070	-0.02791
0.03104	-0.02678
0.04139	-0.02872
0.06209	-0.02823
0.08279	-0.02549
0.11383	-0.02517
0.13453	-0.02372
0.16557	-0.02566
0.19662	-0.02388
0.24836	-0.02356
0.30010	-0.02501
0.35184	-0.02388
0.41393	-0.02485
0.47602	-0.02856
0.53811	-0.02646
0.61054	-0.01953
0.67263	-0.02549
0.73472	-0.02469
0.77611	-0.02356
0.81751	-0.02582
0.85890	-0.02308
0.92099	-0.02678
0.96238	-0.02678
0.99343	-0.02485
