Black Body Radiation Experiment Wed, Sep 23, 2020 11:36 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01776
0.00000	-0.01083
0.00000	-0.01535
0.00000	-0.01454
0.00000	-0.01631
0.00000	-0.01261
0.00000	-0.01164
0.00000	-0.01116
0.00000	-0.01196
0.00000	-0.01357
0.00000	-0.01164
0.00000	-0.01567
0.00000	-0.01083
0.00000	-0.01341
0.00000	-0.01438
0.00000	-0.01454
0.00000	-0.01390
0.00000	-0.01873
0.00000	-0.01696
0.00000	-0.01357
0.00000	-0.01357
0.00000	-0.01261
0.00000	-0.01470
0.00000	-0.01502
0.00000	-0.01341
0.00000	-0.01873
0.00000	-0.01551
0.00000	-0.01470
0.00000	-0.01212
0.00000	-0.01663
0.00000	-0.01083
0.00000	-0.01180
0.00000	-0.01148
0.00000	-0.01599
0.00000	-0.01567
0.00000	-0.01196
0.00000	-0.01116
0.00000	-0.01663
0.00000	-0.01696
0.00000	-0.01390
0.00000	-0.01631
0.00000	-0.01454
0.00000	-0.01615
0.00000	-0.01148
0.00000	-0.01470
0.00000	-0.01357
0.00000	-0.01438
0.00000	-0.01422
0.00000	-0.01647
0.00000	-0.01518
0.00000	-0.01470
0.00000	-0.01309
0.00000	-0.01905
0.00000	-0.01599
0.00000	-0.01277
0.00000	-0.00955
0.00000	-0.01116
0.00000	-0.01518
0.00000	-0.01647
0.00000	-0.01406
0.00000	-0.01019
0.00000	-0.01728
0.00000	-0.01615
0.00000	-0.01857
0.00000	-0.01293
0.00000	-0.01293
0.00000	-0.01680
0.00000	-0.01277
0.00000	-0.01470
0.00000	-0.01067
0.00000	-0.01293
0.00000	-0.01486
0.00000	-0.00874
0.00000	-0.01535
0.00000	-0.01228
0.00000	-0.01728
0.00000	-0.01261
0.00000	-0.01406
0.00000	-0.01406
0.00000	-0.01438
0.00000	-0.00955
0.00000	-0.01083
0.00000	-0.01615
0.00000	-0.00955
0.00000	-0.01261
0.00000	-0.01551
0.00000	-0.01132
0.00000	-0.01116
0.00000	-0.01551
0.00000	-0.01309
0.00000	-0.01261
0.00000	-0.01035
0.00000	-0.01454
0.00000	-0.01277
0.00000	-0.01535
0.00000	-0.01293
0.00000	-0.01792
0.00000	-0.01454
0.00000	-0.01535
0.00000	-0.01825
0.00000	-0.01341
0.00000	-0.01261
0.00000	-0.01196
0.00000	-0.01357
0.00000	-0.01277
0.00000	-0.01148
0.00000	-0.00922
0.00000	-0.01196
0.00000	-0.01116
0.00000	-0.01486
0.00000	-0.01019
0.00000	-0.01196
0.00000	-0.01390
0.00000	-0.01261
0.00000	-0.01196
0.00000	-0.01180
0.00000	-0.01406
0.00000	-0.01196
0.00000	-0.01196
0.00000	-0.01132
0.00000	-0.00794
0.00000	-0.01261
0.00000	-0.01551
0.00000	-0.01019
0.00000	-0.01615
0.00000	-0.01696
0.00000	-0.01406
0.00000	-0.01470
0.00000	-0.01535
0.00000	-0.01277
0.00000	-0.01293
0.00000	-0.01663
0.00000	-0.01341
0.00000	-0.01502
0.00000	-0.01583
0.00000	-0.01551
0.00000	-0.01309
0.00000	-0.01454
0.00000	-0.01663
0.00000	-0.01486
0.00000	-0.01100
0.00000	-0.01551
0.00000	-0.01615
0.00000	-0.00987
0.00000	-0.01583
0.00000	-0.01567
0.00000	-0.01277
0.00000	-0.01051
0.00000	-0.01228
0.00000	-0.01148
0.00000	-0.01518
0.00000	-0.01309
0.00000	-0.01003
0.00000	-0.01792
0.00000	-0.01454
0.00000	-0.01116
0.00000	-0.01212
0.00000	-0.01567
0.00000	-0.01196
0.00000	-0.01212
0.00000	-0.01083
0.00000	-0.01357
0.00000	-0.01486
0.00000	-0.00810
0.00000	-0.01454
0.00000	-0.01551
0.00000	-0.01857
0.00000	-0.00987
0.00000	-0.01309
0.00000	-0.01277
0.00000	-0.01116
0.00000	-0.01116
0.00000	-0.01277
0.00000	-0.01132
0.00000	-0.01261
0.00000	-0.01583
0.00000	-0.01583
0.00000	-0.01245
0.00000	-0.01132
0.00000	-0.01712
0.00000	-0.01341
0.00000	-0.02034
0.00000	-0.01502
0.00000	-0.01406
0.00000	-0.01583
0.00000	-0.01293
0.00000	-0.01245
0.00000	-0.01841
0.00000	-0.01261
0.00000	-0.01309
0.00000	-0.01615
0.00000	-0.01357
0.00000	-0.01535
0.00000	-0.01132
0.00000	-0.01293
0.00000	-0.01631
0.00000	-0.01454
0.00000	-0.01535
0.00000	-0.01341
0.00000	-0.02147
0.00000	-0.01341
0.00000	-0.01309
0.00000	-0.01261
0.00000	-0.01551
0.01035	-0.01615
0.01035	-0.01277
0.01035	-0.01518
0.01035	-0.01196
0.01035	-0.01567
0.01035	-0.01390
0.01035	-0.01744
0.01035	-0.01100
0.02070	-0.01164
0.02070	-0.01599
0.02070	-0.01373
0.02070	-0.01116
0.02070	-0.01551
0.02070	-0.01470
0.02070	-0.01921
0.02070	-0.01535
0.02070	-0.01293
0.02070	-0.01132
0.02070	-0.01470
0.02070	-0.01180
0.02070	-0.01277
0.02070	-0.01277
0.02070	-0.01245
0.02070	-0.01373
0.02070	-0.01228
0.02070	-0.01245
0.02070	-0.01696
0.02070	-0.01390
0.02070	-0.01261
0.02070	-0.01390
0.02070	-0.00810
0.02070	-0.01277
0.02070	-0.01615
0.02070	-0.01277
0.02070	-0.01116
0.02070	-0.01341
0.02070	-0.01357
0.02070	-0.01502
0.02070	-0.01148
0.02070	-0.01341
0.02070	-0.01454
0.02070	-0.01180
0.02070	-0.01502
0.02070	-0.01502
0.02070	-0.01712
0.02070	-0.01631
0.02070	-0.01067
0.02070	-0.01518
0.02070	-0.01438
0.02070	-0.01261
0.02070	-0.01390
0.02070	-0.01100
0.02070	-0.01277
0.02070	-0.01325
0.02070	-0.01551
0.02070	-0.01293
0.02070	-0.01647
0.02070	-0.01583
0.02070	-0.01744
0.02070	-0.01212
0.02070	-0.01486
0.02070	-0.01518
0.02070	-0.01406
0.02070	-0.01502
0.02070	-0.01583
0.02070	-0.01357
0.02070	-0.01647
0.02070	-0.00987
0.04139	-0.00938
0.06209	-0.01083
0.09313	-0.01551
0.09313	-0.01518
0.09313	-0.01502
0.09313	-0.01083
0.09313	-0.01019
0.09313	-0.01003
0.10348	-0.01196
0.10348	-0.00938
0.10348	-0.01277
0.10348	-0.01486
0.11383	-0.01486
0.11383	-0.01486
0.11383	-0.01180
0.12418	-0.01261
0.12418	-0.01486
0.12418	-0.00842
0.15522	-0.01325
0.21731	-0.01228
0.28975	-0.01583
0.36219	-0.01100
0.42428	-0.01261
0.46567	-0.01180
0.49671	-0.00955
0.53811	-0.01712
0.56915	-0.01615
0.61054	-0.01583
0.66228	-0.01341
0.71403	-0.01390
0.75542	-0.01132
0.79681	-0.01277
0.83820	-0.01148
0.87960	-0.00826
0.93134	-0.01019
0.99343	-0.01406
1.07621	-0.01341
1.12795	-0.01196
1.15900	-0.01035
1.19004	-0.01100
1.22109	-0.01148
1.24178	-0.00858
1.28318	-0.01132
1.32457	-0.01051
1.35561	-0.00987
1.39701	-0.01406
1.42805	-0.01228
1.45910	-0.01277
1.50049	-0.01470
1.53153	-0.01293
1.55223	-0.01277
1.59362	-0.01470
1.62467	-0.01164
1.68676	-0.01760
1.76954	-0.01325
1.82128	-0.01390
1.88337	-0.01309
1.94546	-0.01003
1.99720	-0.01390
2.03859	-0.01293
2.07999	-0.01228
2.13173	-0.01148
2.17312	-0.01212
2.21451	-0.01341
2.25591	-0.01277
2.29730	-0.01808
2.34904	-0.01100
2.39043	-0.01148
2.44217	-0.01309
2.48357	-0.01100
2.51461	-0.01567
2.54566	-0.01599
2.57670	-0.01277
2.61809	-0.01615
2.66983	-0.01228
2.72158	-0.01454
2.76297	-0.01245
2.80436	-0.01067
2.83541	-0.01228
2.86645	-0.01196
2.90784	-0.01261
2.93889	-0.01019
2.96993	-0.00987
2.99063	-0.01422
3.02167	-0.01148
3.06307	-0.01438
3.11481	-0.01100
3.17690	-0.01325
3.22864	-0.01325
3.28038	-0.01341
3.32177	-0.01067
3.37351	-0.01551
3.43560	-0.01325
3.49769	-0.01454
3.57013	-0.01019
3.63222	-0.01470
