Black Body Radiation Experiment Wed, Sep 23, 2020 3:06 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00890
0.00000	-0.00890
0.00000	-0.01180
0.00000	-0.01245
0.00000	-0.01116
0.00000	-0.01422
0.00000	-0.00794
0.00000	-0.00874
0.00000	-0.00858
0.00000	-0.01373
0.00000	-0.01132
0.00000	-0.01341
0.00000	-0.00874
0.00000	-0.01019
0.00000	-0.00826
0.00000	-0.01100
0.00000	-0.01148
0.00000	-0.01148
0.00000	-0.01422
0.00000	-0.01293
0.00000	-0.00794
0.00000	-0.00729
0.00000	-0.00745
0.00000	-0.00520
0.00000	-0.01051
0.00000	-0.01277
0.00000	-0.01148
0.00000	-0.00471
0.00000	-0.01083
0.00000	-0.01164
0.00000	-0.01277
0.00000	-0.01293
0.00000	-0.00681
0.00000	-0.00874
0.00000	-0.00794
0.00000	-0.01132
0.00000	-0.01180
0.00000	-0.01164
0.00000	-0.00971
0.00000	-0.01212
0.00000	-0.01100
0.00000	-0.00842
0.00000	-0.00826
0.00000	-0.00681
0.00000	-0.01116
0.00000	-0.01212
0.00000	-0.01067
0.00000	-0.01035
0.00000	-0.01357
0.00000	-0.00842
0.00000	-0.00874
0.00000	-0.00713
0.00000	-0.01083
0.00000	-0.01051
0.00000	-0.00842
0.00000	-0.01083
0.00000	-0.01003
0.00000	-0.00681
0.00000	-0.00600
0.00000	-0.01180
0.00000	-0.01067
0.00000	-0.00922
0.00000	-0.00842
0.00000	-0.00616
0.00000	-0.00906
0.00000	-0.01293
0.00000	-0.00552
0.00000	-0.00810
0.00000	-0.00536
0.00000	-0.00971
0.00000	-0.00745
0.00000	-0.00890
0.00000	-0.01116
0.00000	-0.01261
0.00000	-0.01245
0.00000	-0.00713
0.00000	-0.00938
0.00000	-0.00777
0.00000	-0.00938
0.00000	-0.00649
0.00000	-0.01245
0.00000	-0.00842
0.00000	-0.01003
0.00000	-0.00391
0.00000	-0.00745
0.00000	-0.00938
0.00000	-0.00874
0.00000	-0.00697
0.00000	-0.00616
0.00000	-0.01003
0.00000	-0.00471
0.00000	-0.01051
0.00000	-0.00858
0.00000	-0.00794
0.00000	-0.00697
0.00000	-0.00826
0.00000	-0.00616
0.00000	-0.00713
0.00000	-0.00536
0.00000	-0.00697
0.00000	-0.00681
0.00000	-0.00391
0.00000	-0.00520
0.00000	-0.00729
0.00000	-0.01003
0.00000	-0.00761
0.00000	-0.00922
0.00000	-0.00826
0.00000	-0.00987
0.00000	-0.00681
0.00000	-0.00761
0.00000	-0.00842
0.00000	-0.00777
0.00000	-0.01051
0.00000	-0.00326
0.00000	-0.00842
0.00000	-0.01067
0.00000	-0.01035
0.00000	-0.00826
0.00000	-0.00777
0.00000	-0.01148
0.00000	-0.00713
0.00000	-0.00407
0.00000	-0.00713
0.00000	-0.01019
0.00000	-0.01148
0.00000	-0.00971
0.00000	-0.00375
0.00000	-0.00938
0.00000	-0.00761
0.00000	-0.00826
0.00000	-0.00858
0.01035	-0.00649
0.01035	-0.00842
0.01035	-0.00826
0.02070	-0.00922
0.02070	-0.00922
0.04139	-0.00955
0.04139	-0.01019
0.04139	-0.00826
0.06209	-0.01422
0.08279	-0.01083
0.11383	-0.00826
0.12418	-0.00407
0.12418	-0.00504
0.12418	-0.00536
0.11383	-0.00391
0.11383	-0.00536
0.10348	-0.00777
0.08279	-0.00810
0.06209	-0.00971
0.05174	-0.00777
0.05174	-0.00649
0.05174	-0.00810
0.05174	-0.00745
0.04139	-0.00552
0.04139	-0.00842
0.04139	-0.00810
0.04139	-0.01035
0.04139	-0.00520
0.04139	-0.00681
0.04139	-0.00955
0.04139	-0.01051
0.03104	-0.00761
0.03104	-0.00681
0.03104	-0.01003
0.03104	-0.00890
0.03104	-0.00794
0.03104	-0.01277
0.03104	-0.00777
0.03104	-0.00761
0.03104	-0.00584
0.03104	-0.01035
0.03104	-0.00584
0.03104	-0.00842
0.03104	-0.00761
0.03104	-0.00890
0.03104	-0.00745
0.03104	-0.00987
0.03104	-0.01003
0.03104	-0.00826
0.03104	-0.00890
0.03104	-0.00649
0.03104	-0.00504
0.03104	-0.00794
0.03104	-0.01180
0.03104	-0.00922
0.03104	-0.00842
0.03104	-0.00777
0.03104	-0.00874
0.03104	-0.00504
0.03104	-0.01051
0.03104	-0.01003
0.03104	-0.00906
0.03104	-0.00729
0.03104	-0.00310
0.03104	-0.00890
0.03104	-0.00810
0.03104	-0.00842
0.03104	-0.00842
0.03104	-0.00326
0.03104	-0.00729
0.03104	-0.00826
0.03104	-0.00922
0.03104	-0.00681
0.03104	-0.00310
0.03104	-0.00971
0.03104	-0.00955
0.03104	-0.00922
0.03104	-0.00874
0.03104	-0.00794
0.03104	-0.00938
0.04139	-0.00536
0.04139	-0.00713
0.04139	-0.00729
0.04139	-0.00777
0.04139	-0.00858
0.04139	-0.00536
0.04139	-0.00761
0.04139	-0.00649
0.05174	-0.00632
