Black Body Radiation Experiment Wed, Sep 23, 2020 3:07 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00616
0.00000	-0.01132
0.00000	-0.00922
0.00000	-0.00439
0.00000	-0.00616
0.00000	-0.00842
0.00000	-0.01067
0.00000	-0.00826
0.00000	-0.00842
0.00000	-0.00922
0.00000	-0.00777
0.00000	-0.00922
0.00000	-0.00681
0.00000	-0.00407
0.00000	-0.00938
0.00000	-0.00600
0.00000	-0.00842
0.00000	-0.01116
0.00000	-0.00616
0.00000	-0.01196
0.00000	-0.01373
0.00000	-0.00729
0.00000	-0.00745
0.00000	-0.00987
0.00000	-0.00777
0.00000	-0.01341
0.00000	-0.01003
0.00000	-0.00906
0.00000	-0.00938
0.00000	-0.00987
0.00000	-0.00858
0.00000	-0.00616
0.00000	-0.01164
0.00000	-0.01277
0.00000	-0.00810
0.00000	-0.01035
0.00000	-0.01051
0.00000	-0.01019
0.00000	-0.01148
0.00000	-0.00971
0.00000	-0.01035
0.00000	-0.00761
0.00000	-0.01067
0.00000	-0.00552
0.00000	-0.01309
0.00000	-0.01051
0.00000	-0.00632
0.00000	-0.00938
0.00000	-0.01212
0.00000	-0.00697
0.00000	-0.01083
0.00000	-0.00794
0.00000	-0.00649
0.00000	-0.00665
0.00000	-0.00826
0.00000	-0.00906
0.00000	-0.00697
0.00000	-0.00922
0.00000	-0.01341
0.00000	-0.00858
0.00000	-0.00552
0.00000	-0.00810
0.00000	-0.01309
0.00000	-0.01228
0.00000	-0.00955
0.00000	-0.00874
0.00000	-0.01180
0.00000	-0.00890
0.00000	-0.00649
0.00000	-0.00761
0.00000	-0.01212
0.00000	-0.00842
0.00000	-0.00938
0.00000	-0.00955
0.00000	-0.01148
0.00000	-0.01083
0.00000	-0.01357
0.00000	-0.00955
0.00000	-0.01132
0.00000	-0.00938
0.00000	-0.01067
0.00000	-0.00971
0.00000	-0.01245
0.00000	-0.00713
0.00000	-0.00649
0.00000	-0.00810
0.00000	-0.01116
0.00000	-0.00713
0.00000	-0.00616
0.00000	-0.01309
0.00000	-0.00794
0.00000	-0.00568
0.00000	-0.01261
0.00000	-0.00987
0.00000	-0.00906
0.00000	-0.01518
0.00000	-0.01003
0.00000	-0.00584
0.00000	-0.01100
0.00000	-0.01357
0.00000	-0.01180
0.00000	-0.00777
0.00000	-0.01148
0.00000	-0.00632
0.00000	-0.00665
0.00000	-0.00938
0.00000	-0.01035
0.00000	-0.01212
0.00000	-0.01164
0.00000	-0.00971
0.00000	-0.00890
0.00000	-0.01277
0.00000	-0.01051
0.00000	-0.01035
0.00000	-0.00874
0.00000	-0.00810
0.00000	-0.00906
0.00000	-0.01035
0.00000	-0.01502
0.00000	-0.00842
0.00000	-0.00842
0.00000	-0.01277
0.00000	-0.00665
0.00000	-0.00826
0.00000	-0.00971
0.00000	-0.00906
0.00000	-0.00632
0.00000	-0.00874
0.00000	-0.00874
0.00000	-0.00632
0.00000	-0.00922
0.00000	-0.01019
0.00000	-0.01261
0.00000	-0.01083
0.00000	-0.00987
0.00000	-0.01019
0.00000	-0.00906
0.00000	-0.01535
0.00000	-0.01051
0.00000	-0.00890
0.00000	-0.01019
0.00000	-0.01406
0.00000	-0.00938
0.00000	-0.00890
0.00000	-0.01003
0.00000	-0.00794
0.00000	-0.00955
0.00000	-0.00890
0.00000	-0.00455
0.00000	-0.00858
0.00000	-0.01341
0.00000	-0.01019
0.00000	-0.00729
0.00000	-0.00584
0.00000	-0.00842
0.00000	-0.00600
0.00000	-0.00729
0.00000	-0.01438
0.00000	-0.01019
0.00000	-0.00439
0.00000	-0.01261
0.00000	-0.00342
0.00000	-0.01132
0.00000	-0.00665
0.00000	-0.00922
0.00000	-0.00938
0.00000	-0.00906
0.01035	-0.00842
0.01035	-0.01148
0.02070	-0.01454
0.02070	-0.01116
0.02070	-0.00729
0.02070	-0.00794
0.02070	-0.00987
0.02070	-0.00922
0.03104	-0.00697
0.03104	-0.00777
0.04139	-0.01051
0.05174	-0.01373
0.06209	-0.00810
0.07244	-0.01261
0.07244	-0.01615
0.07244	-0.00971
0.07244	-0.00810
0.07244	-0.00842
0.07244	-0.01196
0.06209	-0.01196
0.06209	-0.01277
0.06209	-0.01116
0.06209	-0.00761
0.06209	-0.00890
0.06209	-0.01051
0.06209	-0.00810
0.06209	-0.01067
0.06209	-0.01051
0.06209	-0.01309
0.06209	-0.01019
0.06209	-0.01003
0.06209	-0.00842
0.06209	-0.01083
0.06209	-0.01051
0.06209	-0.01164
0.06209	-0.01309
0.06209	-0.00761
0.07244	-0.01035
0.07244	-0.01390
0.07244	-0.00971
0.07244	-0.01067
0.07244	-0.00794
0.07244	-0.01019
0.07244	-0.01083
0.07244	-0.01164
0.06209	-0.01003
0.06209	-0.01309
0.06209	-0.00987
0.06209	-0.01051
0.06209	-0.00987
0.06209	-0.01100
0.06209	-0.00971
0.06209	-0.01148
0.06209	-0.01277
0.06209	-0.00794
0.06209	-0.00906
0.06209	-0.00761
0.06209	-0.00665
0.06209	-0.00826
0.05174	-0.01100
0.05174	-0.00938
0.05174	-0.01293
0.05174	-0.01100
0.05174	-0.00794
0.05174	-0.01035
0.05174	-0.00842
0.05174	-0.01406
0.05174	-0.01454
0.05174	-0.00858
0.04139	-0.00922
0.04139	-0.00938
0.03104	-0.01083
0.03104	-0.01083
0.03104	-0.00955
0.03104	-0.00713
0.03104	-0.01019
0.03104	-0.00729
0.03104	-0.01067
0.03104	-0.00552
0.03104	-0.01051
