Black Body Radiation Experiment Wed, Sep 23, 2020 12:39 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00117
0.00000	0.00125
0.00000	0.00109
0.00000	-0.00165
0.00000	-0.00375
0.00000	-0.00294
0.00000	-0.00181
0.00000	-0.00036
0.00000	-0.00504
0.00000	-0.00133
0.00000	-0.00036
0.00000	-0.00455
0.00000	-0.00294
0.00000	0.00012
0.00000	-0.00326
0.00000	0.00157
0.00000	-0.00310
0.00000	-0.00197
0.00000	-0.00052
0.00000	-0.00117
0.00000	-0.00004
0.00000	-0.00616
0.00000	-0.00117
0.00000	-0.00197
0.00000	0.00012
0.00000	-0.00069
0.00000	-0.00326
0.00000	-0.00359
0.00000	-0.00165
0.00000	-0.00036
0.00000	-0.00439
0.00000	0.00141
0.00000	0.00157
0.00000	-0.00423
0.00000	-0.00197
0.00000	-0.00294
0.00000	0.00221
0.00000	-0.00326
0.00000	-0.00294
0.00000	0.00044
0.00000	-0.00036
0.00000	-0.00294
0.00000	-0.00085
0.00000	-0.00310
0.00000	0.00173
0.00000	-0.00294
0.00000	-0.00149
0.00000	0.00012
0.00000	0.00366
0.00000	-0.00391
0.00000	-0.00375
0.00000	-0.00584
0.00000	-0.00069
0.00000	-0.00262
0.00000	-0.00326
0.00000	0.00076
0.00000	-0.00423
0.00000	-0.00294
0.00000	0.00093
0.00000	0.00205
0.00000	-0.00181
0.00000	-0.00036
0.00000	0.00366
0.00000	0.00076
0.00000	0.00173
0.00000	-0.00391
0.00000	-0.00020
0.00000	0.00076
0.00000	-0.00326
0.00000	0.00141
0.00000	-0.00359
0.00000	0.00028
0.00000	-0.00133
0.00000	0.00012
0.00000	-0.00020
0.00000	-0.00407
0.00000	0.00060
0.00000	-0.00101
0.00000	0.00173
0.00000	-0.00149
0.00000	0.00012
0.00000	0.00093
0.00000	-0.00101
0.00000	-0.00230
0.00000	0.00173
0.00000	-0.00069
0.00000	-0.00407
0.00000	-0.00697
0.00000	-0.00117
0.00000	-0.00246
0.00000	0.00189
0.00000	-0.00246
0.00000	0.00076
0.00000	0.00109
0.00000	-0.00375
0.00000	-0.00052
0.00000	-0.00246
0.00000	-0.00278
0.00000	0.00221
0.00000	-0.00246
0.00000	-0.00326
0.00000	0.00157
0.00000	-0.00101
0.00000	-0.00520
0.00000	0.00270
0.00000	0.00125
0.00000	-0.00246
0.00000	0.00093
0.00000	-0.00004
0.00000	-0.00101
0.00000	-0.00165
0.00000	-0.00359
0.00000	-0.00020
0.00000	0.00076
0.00000	-0.00117
0.00000	0.00238
0.00000	0.00093
0.00000	-0.00568
0.00000	-0.00423
0.00000	0.00221
0.00000	-0.00278
0.00000	-0.00149
0.00000	-0.00310
0.00000	-0.00326
0.00000	-0.00149
0.00000	-0.00504
0.00000	-0.00214
0.00000	-0.00310
0.00000	-0.00407
0.00000	-0.00036
0.00000	-0.00310
0.00000	-0.00165
0.00000	-0.00584
0.00000	-0.00133
0.00000	-0.00181
0.00000	-0.00246
0.00000	-0.00036
0.00000	-0.00520
0.00000	-0.00600
0.00000	-0.00165
0.00000	-0.00278
0.00000	-0.00359
0.00000	0.00012
0.00000	-0.00101
0.00000	0.00060
0.00000	-0.00294
0.00000	-0.00069
0.00000	-0.00004
0.00000	-0.00310
0.00000	-0.00149
0.00000	-0.00165
0.00000	-0.00004
0.00000	-0.00423
0.00000	-0.00600
0.00000	-0.00487
0.00000	-0.00536
0.00000	-0.00310
0.00000	-0.00407
0.00000	-0.00020
0.00000	0.00028
0.01035	-0.00133
0.01035	-0.00101
0.01035	-0.00149
0.01035	-0.00181
0.01035	0.00189
0.01035	0.00093
0.02070	-0.00004
0.02070	-0.00101
0.03104	0.00189
0.03104	-0.00439
0.03104	-0.00214
0.03104	-0.00326
0.03104	-0.00214
0.03104	-0.00342
0.03104	-0.00214
0.03104	-0.00487
0.03104	-0.00230
0.03104	-0.00052
0.03104	-0.00036
0.03104	-0.00117
0.03104	0.00109
0.03104	0.00060
0.03104	-0.00246
0.03104	-0.00036
0.03104	-0.00052
0.03104	-0.00004
0.03104	0.00093
0.03104	0.00060
0.03104	0.00012
0.03104	-0.00246
0.03104	-0.00181
0.03104	-0.00471
0.03104	0.00302
0.03104	-0.00326
0.03104	-0.00069
0.03104	-0.00149
0.03104	0.00109
0.03104	-0.00020
0.03104	-0.00230
0.03104	-0.00391
0.03104	-0.00085
0.03104	-0.00342
0.03104	-0.00101
0.03104	0.00093
0.03104	-0.00085
0.03104	-0.00133
0.03104	-0.00214
0.03104	0.00093
0.03104	-0.00101
0.03104	0.00221
0.03104	0.00205
0.03104	0.00012
0.03104	-0.00342
0.03104	-0.00165
0.03104	0.00093
0.03104	-0.00246
0.03104	-0.00052
0.03104	0.00028
0.03104	0.00060
0.03104	-0.00036
0.03104	-0.00069
0.03104	0.00076
0.03104	-0.00085
0.03104	-0.00197
0.03104	-0.00036
0.03104	0.00060
0.03104	0.00141
0.03104	0.00076
0.03104	-0.00036
0.03104	-0.00052
0.02070	-0.00455
0.02070	-0.00423
0.02070	-0.00214
0.02070	0.00125
0.02070	-0.00085
0.02070	-0.00439
0.02070	-0.00439
0.01035	0.00076
0.01035	-0.00681
0.01035	0.00318
0.01035	0.00157
0.01035	0.00656
0.01035	-0.00230
0.01035	0.00157
0.01035	-0.00407
0.01035	-0.00036
0.01035	-0.00230
0.01035	0.00157
0.00000	-0.00085
0.00000	-0.00649
0.00000	-0.00375
0.00000	-0.00326
0.00000	-0.00520
0.00000	-0.00439
0.00000	-0.00117
0.00000	0.00157
0.00000	-0.00407
0.00000	-0.00020
0.00000	0.00350
0.00000	-0.00165
0.00000	-0.00085
0.00000	-0.00391
0.00000	-0.00310
0.00000	0.00157
0.00000	-0.00101
0.00000	0.00076
0.00000	0.00189
0.00000	-0.00069
0.00000	-0.00101
0.00000	-0.00004
0.00000	0.00044
0.00000	-0.00342
0.00000	0.00076
0.00000	-0.00133
0.00000	-0.00069
0.00000	-0.00004
0.00000	0.00109
0.00000	-0.00052
0.00000	0.00189
0.01035	-0.00117
0.01035	0.00093
0.01035	0.00334
0.01035	-0.00117
0.01035	0.00205
0.01035	0.00254
0.01035	0.00221
0.01035	-0.00197
0.01035	0.00141
0.01035	-0.00294
0.02070	-0.00181
0.02070	-0.00101
0.02070	-0.00407
0.02070	-0.00036
0.02070	0.00689
0.02070	-0.00036
0.03104	0.00012
0.03104	-0.00101
0.03104	0.00012
0.03104	-0.00536
0.04139	-0.00004
0.04139	-0.00439
0.05174	0.00286
0.06209	-0.00181
0.07244	0.00028
0.09313	-0.00246
0.11383	-0.00085
0.13453	0.00205
0.16557	-0.00004
0.19662	0.00254
0.23801	0.00044
0.28975	0.00044
0.34149	0.00076
0.38288	-0.00214
0.44497	0.00093
0.52776	-0.00165
0.58985	-0.00326
0.66228	-0.00149
0.73472	-0.00326
0.79681	0.00205
0.85890	0.00366
0.93134	0.00044
0.98308	0.00366
1.03482	-0.00149
1.08656	-0.00246
1.12795	-0.00149
1.15900	-0.00133
1.20039	-0.00423
1.23144	-0.00230
1.27283	-0.00375
1.29352	-0.00085
1.33492	-0.00310
1.36596	-0.00101
1.40735	-0.00004
1.43840	-0.00165
1.47979	-0.00149
1.51084	0.00254
1.56258	0.00495
1.61432	0.00012
1.66606	0.00350
1.72815	0.00125
1.79024	0.00399
1.84198	-0.00294
1.88337	0.00656
1.92476	-0.00165
1.96616	-0.00020
2.00755	0.00028
2.04894	-0.00149
2.09034	0.00109
2.14208	-0.00214
2.18347	0.00254
2.23521	0.00109
2.28695	0.00173
2.32834	0.00157
2.36974	0.00286
2.42148	0.00012
2.46287	0.00060
2.50426	0.00205
2.54566	0.00221
2.58705	0.00189
2.63879	0.00157
2.69053	-0.00262
2.74227	-0.00052
2.78366	-0.00085
2.83541	0.00044
2.87680	-0.00391
2.91819	-0.00069
2.96993	-0.00326
3.01133	-0.00520
3.05272	-0.00230
3.08376	-0.00052
3.10446	-0.00197
3.13550	-0.00197
3.16655	-0.00085
3.18724	-0.00036
3.22864	0.00334
3.27003	0.00238
3.33212	-0.00181
3.38386	0.00076
3.43560	-0.00278
3.49769	-0.00020
3.55978	-0.00262
3.63222	0.00125
3.70465	0.00109
3.76674	-0.00117
3.82883	0.00318
3.88057	-0.00181
3.93231	0.00060
3.98406	0.00205
4.01510	0.00302
4.05649	0.00286
4.08754	0.00254
4.11858	-0.00230
4.15997	0.00302
4.20137	0.00334
4.24276	0.00415
4.29450	0.00270
4.33589	0.00028
4.38764	-0.00036
4.44972	0.00189
4.51181	0.00076
4.57390	0.00286
4.63599	-0.00036
4.68773	0.00076
4.73947	0.00076
4.79121	-0.00004
4.82226	-0.00036
4.86365	0.00511
4.91539	0.00399
4.97748	-0.00085
5.03957	0.00173
5.10166	0.00270
5.17410	-0.00181
5.23619	0.00109
5.29828	-0.00004
5.36037	0.00672
5.41211	0.00141
5.46385	-0.00036
5.50524	0.00221
5.54663	0.00721
5.58803	0.00076
5.62942	-0.00294
5.68116	-0.00036
5.73290	-0.00197
5.79499	0.00028
5.85708	0.00093
5.91917	0.00076
5.97091	0.00270
6.03300	0.00270
6.08474	-0.00149
6.12613	0.00125
6.17787	-0.00133
6.22961	0.00189
6.28136	0.00157
6.32275	0.00463
6.36414	-0.00149
6.40553	-0.00085
6.43658	0.00447
6.46762	-0.00230
6.50902	-0.00052
6.54006	0.00238
6.58145	0.00093
6.61250	0.00157
6.64354	0.00334
6.67459	0.00286
6.70563	0.00205
6.74702	0.00511
6.77807	0.00157
6.81946	-0.00101
6.86085	0.00350
6.90225	0.00189
6.95399	0.00060
7.00573	0.00141
7.06782	-0.00085
7.14026	0.00012
7.21269	0.00093
7.29548	0.00060
7.37826	-0.00149
7.46105	-0.00165
7.53349	0.00157
7.60592	0.00270
7.67836	-0.00052
7.76115	0.00383
7.84393	0.00189
7.91637	0.00318
8.00950	0.00334
8.09229	0.00221
8.16473	0.00221
8.23716	0.00447
8.29925	0.00334
8.35099	0.00205
8.40274	0.00544
8.46482	0.00350
8.50622	0.00431
8.55796	0.00205
8.60970	0.00431
8.67179	-0.00117
8.72353	0.00334
8.76492	0.00576
8.81666	0.00270
8.85806	0.00302
8.90980	0.00366
8.96154	0.00173
9.01328	0.00060
9.07537	0.00399
9.12711	0.00318
9.18920	0.00012
9.24094	0.00656
9.30303	0.00060
