Black Body Radiation Experiment Wed, Sep 23, 2020 3:05 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02743
0.00000	-0.02292
0.00000	-0.02711
0.00000	-0.02308
0.00000	-0.02904
0.00000	-0.01873
0.00000	-0.02549
0.00000	-0.02646
0.00000	-0.02646
0.01035	-0.02147
0.01035	-0.02388
0.01035	-0.02292
0.01035	-0.02775
0.01035	-0.02308
0.01035	-0.02292
0.02070	-0.02501
0.02070	-0.02517
0.02070	-0.02759
0.03104	-0.02388
0.04139	-0.02517
0.06209	-0.02372
0.08279	-0.02227
0.11383	-0.02453
0.14487	-0.02759
0.17592	-0.02614
0.20696	-0.02678
0.25870	-0.02614
0.31045	-0.02517
0.36219	-0.02501
0.43462	-0.02453
0.49671	-0.02920
0.54845	-0.02678
0.58985	-0.02421
0.63124	-0.02485
0.66228	-0.02485
0.69333	-0.02678
0.71403	-0.02211
0.73472	-0.02936
0.76577	-0.02324
0.77611	-0.02485
0.79681	-0.02566
0.80716	-0.02292
0.83820	-0.02549
0.86925	-0.02582
0.92099	-0.02195
0.96238	-0.02549
0.99343	-0.02179
1.03482	-0.02662
1.07621	-0.02501
1.11761	-0.02292
1.17969	-0.02356
1.24178	-0.02694
1.29352	-0.02614
1.34527	-0.02469
1.39701	-0.02566
1.43840	-0.02582
1.49014	-0.02743
1.53153	-0.02759
1.57293	-0.02694
1.62467	-0.02115
1.67641	-0.02437
1.73850	-0.02388
1.79024	-0.02904
1.85233	-0.02388
1.90407	-0.02501
1.95581	-0.02791
2.00755	-0.02388
2.07999	-0.02630
2.14208	-0.02936
2.21451	-0.02678
2.27660	-0.02421
2.35939	-0.02404
2.43183	-0.02872
2.50426	-0.02533
2.55600	-0.02630
2.60775	-0.02549
2.65949	-0.02549
2.70088	-0.02453
2.74227	-0.02646
2.80436	-0.02388
2.87680	-0.02533
2.94924	-0.02598
3.02167	-0.02549
3.10446	-0.02533
3.18724	-0.02485
3.25968	-0.02404
3.34247	-0.02227
3.42525	-0.02549
3.49769	-0.02324
3.57013	-0.02034
3.63222	-0.02614
3.69431	-0.02823
3.74605	-0.02163
3.79779	-0.02775
3.84953	-0.02533
3.90127	-0.02501
3.96336	-0.02259
4.01510	-0.02517
4.06684	-0.02356
4.12893	-0.02678
4.19102	-0.02904
4.24276	-0.02501
4.30485	-0.02147
4.36694	-0.02485
4.43938	-0.02308
4.49112	-0.02646
4.55321	-0.02469
4.60495	-0.02662
4.65669	-0.02743
4.69808	-0.02598
4.72913	-0.02566
4.77052	-0.02324
4.80156	-0.02807
4.85330	-0.02823
4.88435	-0.02566
4.91539	-0.02968
4.93609	-0.02356
4.97748	-0.02598
5.01888	-0.03065
5.07062	-0.02227
5.15340	-0.02646
5.21549	-0.02372
5.27758	-0.02372
5.32932	-0.02340
5.36037	-0.02485
5.39141	-0.02404
5.43280	-0.02630
5.46385	-0.02630
5.50524	-0.02791
5.54663	-0.02727
5.59837	-0.02388
5.65012	-0.02598
5.71220	-0.02759
5.76395	-0.02292
5.82603	-0.02968
5.87778	-0.02372
5.92952	-0.02694
5.97091	-0.02485
6.01230	-0.02711
6.05369	-0.02614
6.10544	-0.02211
6.16752	-0.02501
6.21927	-0.02453
6.27101	-0.02678
6.34344	-0.02759
6.40553	-0.02711
6.45727	-0.02517
6.50902	-0.02211
6.55041	-0.03033
6.60215	-0.02904
6.64354	-0.02566
6.68493	-0.02195
6.71598	-0.02920
6.75737	-0.02566
6.79876	-0.02646
6.84016	-0.02533
6.87120	-0.02227
6.92294	-0.02453
6.98503	-0.02485
7.04712	-0.02694
7.09886	-0.02485
7.16095	-0.02807
7.22304	-0.02308
7.28513	-0.02517
7.34722	-0.02582
7.39896	-0.02453
7.44035	-0.02807
7.48175	-0.02324
7.51279	-0.02340
7.55418	-0.02646
7.60592	-0.02533
7.64732	-0.02823
7.68871	-0.02517
7.73010	-0.02791
7.76115	-0.02243
7.79219	-0.02566
7.82324	-0.02469
7.85428	-0.02582
7.89567	-0.02984
7.94741	-0.02517
7.97846	-0.02453
8.01985	-0.02646
8.06124	-0.02276
8.10264	-0.02195
8.14403	-0.02469
8.18542	-0.02163
8.21647	-0.02501
8.25786	-0.02759
8.29925	-0.02614
8.34065	-0.02308
8.38204	-0.02646
8.42343	-0.02566
8.46482	-0.02098
8.48552	-0.02501
8.51657	-0.02243
8.54761	-0.02372
8.56831	-0.02259
8.60970	-0.02517
8.65109	-0.02501
8.68214	-0.02630
