Black Body Radiation Experiment Wed, Sep 23, 2020 12:55 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00221
0.00000	0.00157
0.00000	0.00060
0.00000	0.00334
0.00000	0.00076
0.00000	0.00076
0.00000	0.00286
0.00000	-0.00036
0.00000	0.00238
0.00000	-0.00359
0.00000	-0.00326
0.00000	0.00205
0.00000	0.00221
0.00000	0.00044
0.00000	0.00221
0.00000	0.00173
0.00000	0.00431
0.00000	0.00447
0.00000	0.00125
0.00000	0.00157
0.00000	-0.00052
0.00000	0.00769
0.00000	0.00060
0.00000	0.00350
0.00000	0.00157
0.00000	0.00125
0.00000	-0.00004
0.00000	0.00125
0.00000	0.00189
0.00000	0.00221
0.00000	0.00254
0.00000	-0.00020
0.00000	0.00141
0.00000	-0.00085
0.00000	0.00109
0.00000	0.00012
0.00000	0.00060
0.00000	-0.00085
0.00000	-0.00214
0.00000	0.00141
0.00000	-0.00133
0.00000	0.00012
0.00000	0.00189
0.00000	-0.00149
0.00000	0.00205
0.00000	0.00076
0.00000	0.00769
0.00000	0.00383
0.00000	-0.00278
0.00000	0.00157
0.00000	0.00189
0.00000	0.00125
0.00000	0.00302
0.00000	0.00060
0.00000	0.00093
0.00000	0.00093
0.00000	-0.00165
0.00000	0.00189
0.00000	0.00366
0.00000	-0.00181
0.00000	0.00093
0.00000	0.00125
0.00000	0.00141
0.00000	-0.00262
0.00000	0.00173
0.00000	0.00189
0.00000	0.00238
0.00000	-0.00471
0.00000	-0.00439
0.00000	0.00447
0.00000	0.00479
0.00000	-0.00004
0.00000	0.00334
0.00000	0.00350
0.00000	0.00205
0.00000	0.00238
0.00000	0.00189
0.00000	0.00318
0.00000	0.00238
0.00000	-0.00197
0.00000	0.00350
0.00000	0.00093
0.00000	0.00221
0.00000	0.00431
0.00000	0.00093
0.00000	0.00334
0.00000	0.00093
0.00000	0.00012
0.00000	-0.00326
0.00000	0.00366
0.00000	0.00157
0.00000	-0.00069
0.00000	0.00238
0.00000	0.00270
0.00000	0.00221
0.00000	0.00044
0.00000	0.00495
0.00000	0.00189
0.00000	0.00157
0.00000	0.00157
0.00000	0.00109
0.00000	-0.00101
0.00000	-0.00149
0.00000	0.00447
0.00000	0.00093
0.00000	0.00012
0.00000	0.00141
0.00000	0.00415
0.00000	-0.00085
0.00000	-0.00230
0.00000	0.00173
0.00000	0.00399
0.00000	0.00415
0.00000	-0.00069
0.00000	0.00189
0.00000	0.00383
0.00000	0.00060
0.00000	-0.00036
0.00000	-0.00359
0.00000	0.00157
0.00000	-0.00101
0.00000	0.00141
0.00000	0.00173
0.00000	0.00270
0.00000	0.00624
0.00000	-0.00455
0.00000	-0.00101
0.00000	0.00238
0.00000	-0.00036
0.00000	-0.00278
0.00000	0.00479
0.00000	-0.00181
0.00000	0.00157
0.00000	0.00093
0.00000	0.00205
0.00000	0.00576
0.00000	0.00205
0.00000	0.00093
0.00000	0.00157
0.00000	-0.00262
0.00000	-0.00246
0.00000	0.00254
0.00000	0.00479
0.00000	-0.00262
0.00000	0.00044
0.00000	0.00157
0.00000	0.00511
0.00000	0.00093
0.00000	0.00254
0.00000	0.00044
0.00000	-0.00020
0.00000	-0.00052
0.00000	-0.00004
0.01035	0.00270
0.01035	0.00012
0.02070	-0.00197
0.03104	0.00028
0.03104	0.00383
0.03104	-0.00036
0.03104	-0.00085
0.03104	0.00012
0.03104	-0.00197
0.03104	0.00189
0.03104	-0.00004
0.03104	0.00254
0.03104	0.00366
0.03104	-0.00085
0.03104	-0.00036
0.03104	0.00173
0.03104	-0.00262
0.03104	0.00173
0.03104	0.00383
0.03104	0.00286
0.03104	0.00383
0.03104	0.00189
0.03104	-0.00101
0.03104	-0.00149
0.03104	0.00286
0.03104	0.00286
0.03104	0.00141
0.03104	-0.00036
0.03104	0.00270
0.03104	0.00302
0.03104	0.00383
0.03104	0.00125
0.03104	0.00044
0.03104	0.00656
0.03104	0.00238
0.03104	0.00109
0.03104	0.00173
0.03104	0.00318
0.03104	0.00173
0.03104	0.00221
0.03104	0.00012
0.03104	0.00012
0.03104	-0.00020
0.03104	0.00060
0.03104	0.00286
0.03104	0.00060
0.03104	0.00012
0.03104	-0.00004
0.03104	0.00028
0.03104	0.00270
0.04139	-0.00359
0.04139	-0.00181
0.04139	0.00157
0.04139	0.00447
0.04139	-0.00181
0.06209	0.00302
0.07244	0.00318
0.08279	0.00463
0.09313	0.00060
0.11383	0.00093
0.13453	0.00350
0.16557	0.00383
0.20696	0.00109
0.23801	0.00270
0.26905	0.00672
0.30010	0.00511
0.32079	-0.00181
0.34149	0.00173
0.36219	0.00254
0.38288	0.00286
0.41393	0.00044
0.44497	0.00366
0.49671	0.00028
0.53811	0.00076
0.57950	0.00028
0.61054	-0.00391
0.65194	0.00028
0.69333	0.00093
0.72437	0.00012
0.75542	0.00221
0.79681	0.00093
0.83820	0.00399
0.87960	0.00125
0.92099	0.00205
0.96238	0.00076
1.00378	0.00028
1.03482	0.00495
1.06586	0.00221
1.09691	0.00221
1.13830	0.00511
1.16935	0.00012
1.21074	0.00141
1.26248	-0.00052
1.30387	0.00044
1.34527	0.00205
1.39701	-0.00004
1.44875	0.00447
1.50049	-0.00052
1.56258	-0.00052
1.61432	0.00334
1.65571	0.00221
1.69710	0.00238
1.73850	0.00270
1.77989	-0.00036
1.82128	-0.00149
1.87302	0.00318
1.90407	0.00093
1.94546	0.00431
1.98685	-0.00117
2.02825	0.00350
2.05929	0.00334
2.10068	0.00544
2.14208	0.00270
2.19382	0.00495
2.25591	0.00286
2.29730	0.00302
2.34904	0.00060
2.39043	0.00093
2.43183	0.00431
2.47322	0.00383
2.51461	0.00286
2.56635	0.00189
2.60775	-0.00326
2.65949	-0.00052
2.71123	0.00141
2.76297	0.00012
2.81471	0.00173
2.86645	0.00286
2.90784	0.00238
2.94924	0.00044
2.98028	0.00350
3.02167	0.00221
3.07341	-0.00262
3.12516	-0.00020
3.18724	-0.00214
3.23899	-0.00181
3.29073	0.00463
3.34247	0.00125
3.39421	0.00189
3.43560	-0.00278
3.48734	-0.00133
3.51839	-0.00020
3.54943	0.00093
3.57013	0.00318
3.61152	-0.00085
3.64257	-0.00230
3.67361	0.00173
3.70465	0.00511
3.74605	-0.00117
3.79779	-0.00069
3.84953	0.00334
3.91162	0.00109
3.96336	0.00383
4.00475	0.00495
4.04614	0.00076
4.08754	0.00286
4.12893	-0.00278
4.18067	-0.00004
4.22206	-0.00101
4.26346	0.00221
4.31520	0.00399
4.34624	-0.00246
4.38764	0.00044
4.41868	0.00076
4.47042	0.00221
4.52216	0.00028
4.58425	-0.00036
4.63599	0.00592
4.67738	0.00270
4.71878	-0.00181
4.76017	-0.00069
4.79121	-0.00069
4.81191	0.00254
4.83261	0.00366
4.86365	0.00334
4.89470	0.00141
4.93609	0.00366
4.98783	0.00028
5.03957	0.00093
5.08096	-0.00101
5.12236	0.00012
5.17410	0.00221
5.22584	0.00366
5.26723	0.00157
5.31897	0.00221
5.37071	0.00028
5.42245	0.00286
5.48454	0.00270
5.53628	0.00270
5.59837	-0.00294
5.66046	-0.00133
5.72255	-0.00085
5.80534	0.00060
5.88812	-0.00181
5.97091	0.00012
6.03300	0.00141
6.09509	0.00383
6.13648	-0.00455
6.18822	0.00270
6.22961	0.00060
6.27101	0.00189
6.31240	-0.00069
6.35379	0.00012
6.39519	0.00254
6.42623	0.00093
6.44693	-0.00101
6.46762	0.00366
6.49867	0.00173
6.51936	0.00270
6.56076	-0.00020
6.59180	0.00189
6.63319	0.00399
6.67459	0.00366
6.70563	0.00157
6.74702	-0.00101
6.77807	0.00415
6.82981	0.00205
6.87120	0.00350
6.92294	0.00302
6.97468	-0.00230
7.01608	0.00318
7.05747	0.00012
7.09886	-0.00085
7.14026	0.00302
7.18165	0.00012
7.23339	0.00157
7.28513	-0.00214
7.33687	0.00141
7.38861	0.00076
7.43000	0.00415
7.47140	0.00511
7.50244	-0.00069
7.54383	0.00125
7.58523	0.00093
7.63697	-0.00069
7.66801	0.00318
7.69906	-0.00117
7.71975	0.00608
7.73010	0.00189
7.75080	0.00173
7.78184	0.00076
7.80254	0.00076
7.83358	0.00205
7.85428	0.00834
7.88533	-0.00004
7.92672	0.00093
7.95776	0.00431
7.98881	0.00270
8.00950	-0.00004
8.04055	-0.00004
8.07159	0.00383
8.09229	-0.00181
8.13368	0.00141
8.17507	0.00238
8.22682	0.00109
8.26821	0.00044
8.30960	0.00383
8.36134	0.00012
8.41308	0.00205
8.46482	0.00173
8.51657	0.00318
8.56831	0.00350
8.62005	0.00109
8.65109	0.00060
8.68214	-0.00052
8.72353	0.00189
8.74423	0.00060
8.78562	0.00334
8.81666	0.00334
8.85806	0.00157
8.87875	0.00076
8.92015	0.00141
8.96154	-0.00214
9.00293	-0.00359
9.05467	-0.00020
9.11676	0.00286
9.17885	0.00044
9.22024	0.00415
9.27198	0.00076
9.32372	0.00189
9.37547	0.00527
9.43755	0.00205
9.49964	0.00608
9.57208	0.00205
9.63417	0.00141
9.69626	0.00383
9.76870	0.00205
9.84113	0.00383
9.90322	0.00238
9.96531	0.00093
10.02740	0.00399
10.08949	0.00640
10.14123	0.00366
10.19297	0.00334
10.23437	0.00383
10.28611	0.00463
10.32750	0.00479
10.37924	0.00592
10.41029	0.00576
