Black Body Radiation Experiment Wed, Sep 23, 2020 1:11 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.03476
0.00000	0.03379
0.00000	0.03250
0.00000	0.03830
0.00000	0.03395
0.00000	0.03911
0.00000	0.03379
0.01035	0.03669
0.01035	0.03717
0.01035	0.03733
0.01035	0.03798
0.01035	0.03653
0.01035	0.03379
0.01035	0.04023
0.01035	0.03749
0.01035	0.03749
0.01035	0.03878
0.01035	0.03508
0.01035	0.03427
0.01035	0.03379
0.01035	0.03653
0.02070	0.03395
0.02070	0.03653
0.03104	0.03669
0.04139	0.03685
0.07244	0.03894
0.10348	0.03814
0.13453	0.03347
0.15522	0.03621
0.18627	0.04039
0.22766	0.03669
0.28975	0.03717
0.36219	0.03604
0.43462	0.03588
0.48637	0.03492
0.52776	0.03556
0.53811	0.03782
0.54845	0.03814
0.54845	0.03476
0.54845	0.03733
0.54845	0.03621
0.55880	0.03282
0.56915	0.03733
0.57950	0.03685
0.58985	0.03218
0.62089	0.03669
0.67263	0.03524
0.71403	0.03621
0.76577	0.03894
0.81751	0.03814
0.84855	0.03766
0.87960	0.03588
0.91064	0.03798
0.94169	0.03492
0.96238	0.03379
0.99343	0.03443
1.02447	0.03331
1.04517	0.03685
1.07621	0.03524
1.09691	0.03878
1.12795	0.03975
1.15900	0.03943
1.20039	0.03669
1.25213	0.03427
1.32457	0.03846
1.37631	0.03540
1.42805	0.03878
1.46944	0.03927
1.52118	0.03830
1.56258	0.03395
1.60397	0.03637
1.64536	0.03588
1.69710	0.04104
1.73850	0.03653
1.79024	0.03379
1.83163	0.03798
1.86268	0.03701
1.88337	0.03637
1.91442	0.04056
1.94546	0.03395
1.97651	0.03766
2.00755	0.03443
2.03859	0.03588
2.06964	0.03363
2.10068	0.03782
2.14208	0.03862
2.18347	0.03492
2.21451	0.03588
2.24556	0.03862
2.27660	0.03911
2.30765	0.03717
2.34904	0.03798
2.38009	0.03669
2.41113	0.03846
