Interference and Diffraction Data File Wed, Mar 30, 2022 3:49 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.01100	-0.00244
0.01100	0.00126
0.01100	-0.00131
0.01100	-0.00083
0.01100	0.00014
0.01100	-0.00099
0.01100	-0.00421
0.01100	-0.00180
0.01100	-0.00196
0.01100	0.00110
0.01106	-0.00019
0.01106	0.00046
0.01106	-0.00276
0.01106	0.00223
0.01106	-0.00325
0.01106	0.00223
0.01106	0.00384
0.01106	0.00191
0.01106	0.00175
0.01106	0.00255
0.01106	-0.00035
0.01111	0.00545
0.01111	0.00674
0.01111	0.00271
0.01111	0.00448
0.01111	0.00094
0.01111	0.00304
0.01111	0.00416
0.01111	0.00577
0.01111	0.00481
0.01111	0.00448
0.01117	0.00465
0.01117	0.00304
0.01117	0.00239
0.01117	0.00078
0.01117	0.00529
0.01117	0.00094
0.01117	0.00416
0.01117	0.00368
0.01117	0.00062
0.01117	0.00207
0.01117	0.00432
0.01122	0.00062
0.01122	0.00110
0.01122	-0.00002
0.01122	0.00110
0.01122	0.00432
0.01122	-0.00180
0.01122	0.00062
0.01122	-0.00131
0.01122	-0.00180
0.01122	0.00368
0.01128	-0.00180
0.01128	-0.00002
0.01128	-0.00099
0.01128	0.00304
0.01128	0.00094
0.01128	0.00030
0.01128	-0.00341
0.01128	-0.00180
0.01128	-0.00244
0.01128	0.00094
0.01133	-0.00276
0.01133	0.00191
0.01133	-0.00437
0.01133	0.00207
0.01133	-0.00083
0.01133	-0.00228
0.01133	0.00110
0.01133	0.00384
0.01133	-0.00131
0.01133	0.00126
0.01133	-0.00244
0.01139	-0.00019
0.01139	0.00223
0.01139	0.00239
0.01139	0.00062
0.01139	0.00287
0.01139	-0.00099
0.01139	0.00432
0.01139	0.00481
0.01139	-0.00067
0.01139	0.00432
0.01144	0.00448
0.01144	0.00352
0.01144	0.00191
0.01144	-0.00067
0.01144	0.00432
0.01144	0.00513
0.01144	0.00142
0.01144	0.00481
0.01144	0.00432
0.01144	0.00078
0.01150	0.00400
0.01150	0.00658
0.01150	0.00255
0.01150	0.00142
0.01150	0.00384
0.01150	0.00062
0.01150	0.00336
0.01150	-0.00180
0.01150	-0.00051
0.01150	0.00110
0.01156	-0.00502
0.01156	0.00110
0.01156	0.00030
0.01156	-0.00051
0.01156	0.00191
0.01156	0.00126
0.01156	-0.00292
0.01156	0.00368
0.01156	-0.00228
0.01156	0.00159
0.01156	-0.00421
0.01161	-0.00051
0.01161	-0.00260
0.01161	-0.00002
0.01161	0.00191
0.01161	-0.00051
0.01161	0.00014
0.01161	0.00014
0.01161	0.00191
0.01161	0.00481
0.01161	-0.00019
0.01167	0.00320
0.01167	0.00320
0.01167	0.00030
0.01167	0.00271
0.01167	0.00223
0.01167	0.00159
0.01167	0.00094
0.01167	0.00239
0.01167	0.00529
0.01172	0.00448
0.01172	0.00513
0.01172	0.00223
0.01172	0.00561
0.01172	0.00465
0.01172	0.00416
0.01172	0.01028
0.01172	0.00561
0.01172	0.00674
0.01172	0.00384
0.01172	0.00867
0.01178	0.00771
0.01178	0.00271
0.01178	0.00368
0.01178	0.00513
0.01178	0.00416
0.01178	0.00336
0.01178	0.00545
0.01178	0.00352
0.01178	0.00304
0.01178	0.00223
0.01183	0.00448
0.01183	0.00529
0.01183	0.00223
0.01183	0.00432
0.01183	0.00255
0.01183	0.00593
0.01183	0.00142
0.01183	0.00062
0.01183	-0.00067
0.01183	0.00384
0.01189	0.00110
0.01189	0.00416
0.01189	0.00159
0.01189	0.00336
0.01189	-0.00196
0.01189	0.00320
0.01189	0.00416
0.01189	0.00465
0.01189	0.00191
0.01189	0.00400
0.01194	0.00175
0.01194	0.00287
0.01194	0.00126
0.01194	0.00545
0.01194	0.00593
0.01194	0.00819
0.01194	0.00771
0.01194	0.00787
0.01194	0.01044
0.01194	0.00610
0.01194	0.00771
0.01200	0.00980
0.01200	0.00915
0.01200	0.00964
