Interference and Diffraction Data File Wed, Mar 30, 2022 3:31 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.01000	-0.00196
0.01000	0.00126
0.01000	-0.00147
0.01000	0.00110
0.01000	0.00046
0.01000	0.00030
0.01000	0.00159
0.01000	-0.00035
0.01000	-0.00325
0.01000	-0.00131
0.01006	0.00062
0.01006	0.00159
0.01006	0.00255
0.01006	-0.00292
0.01006	-0.00131
0.01006	0.00239
0.01006	-0.00164
0.01006	0.00159
0.01006	-0.00244
0.01006	0.00142
0.01006	-0.00147
0.01011	-0.00164
0.01011	-0.00051
0.01011	0.00255
0.01011	-0.00019
0.01011	0.00287
0.01011	0.00336
0.01011	0.00191
0.01011	-0.00002
0.01011	0.00191
0.01011	0.00255
0.01011	-0.00212
0.01017	0.00110
0.01017	0.00287
0.01017	-0.00292
0.01017	-0.00051
0.01017	-0.00437
0.01017	-0.00212
0.01017	0.00110
0.01017	-0.00115
0.01017	-0.00131
0.01017	-0.00115
0.01022	0.00062
0.01022	-0.00002
0.01022	-0.00002
0.01022	0.00126
0.01022	0.00255
0.01022	-0.00002
0.01022	-0.00341
0.01022	-0.00228
0.01022	0.00094
0.01022	0.00142
0.01022	0.00030
0.01028	-0.00131
0.01028	-0.00067
0.01028	-0.00164
0.01028	-0.00325
0.01028	-0.00002
0.01028	-0.00276
0.01028	-0.00035
0.01028	-0.00051
0.01028	-0.00019
0.01028	-0.00228
0.01028	0.00110
0.01033	-0.00051
0.01033	-0.00534
0.01033	0.00110
0.01033	-0.00180
0.01033	-0.00083
0.01033	-0.00292
0.01033	-0.00212
0.01033	-0.00502
0.01033	-0.00067
0.01033	-0.00067
0.01033	-0.00421
0.01039	-0.00067
0.01039	-0.00212
0.01039	-0.00389
0.01039	-0.00212
0.01039	-0.00582
0.01039	-0.00164
0.01039	-0.00099
0.01039	-0.00421
0.01039	-0.00260
0.01039	-0.00647
0.01044	-0.00534
0.01044	-0.00147
0.01044	-0.00534
0.01044	-0.00164
0.01044	0.00014
0.01044	-0.00518
0.01044	-0.00582
0.01044	-0.00292
0.01044	-0.00228
0.01044	-0.00180
0.01044	-0.00308
0.01050	-0.00308
0.01050	-0.00373
0.01050	-0.00502
0.01050	-0.00534
0.01050	-0.00453
0.01050	-0.00083
0.01050	-0.00099
0.01050	-0.00389
0.01050	0.00320
0.01050	-0.00534
0.01050	-0.00405
0.01056	-0.00695
0.01056	-0.00598
0.01056	-0.00566
0.01056	-0.00453
0.01056	-0.00180
0.01056	-0.00582
0.01056	-0.00437
0.01056	-0.00453
0.01056	-0.01291
0.01056	0.00030
0.01056	-0.00341
0.01061	-0.00421
0.01061	-0.00260
0.01061	-0.00260
0.01061	-0.00437
0.01061	-0.00357
0.01061	-0.00727
0.01061	-0.00856
0.01061	-0.00260
0.01061	-0.00308
0.01061	-0.00308
0.01067	-0.00759
0.01067	-0.00631
0.01067	-0.00035
0.01067	-0.00357
0.01067	-0.00389
0.01067	-0.00518
0.01067	-0.00888
0.01067	-0.00421
0.01067	-0.00534
0.01067	-0.00647
0.01067	-0.00470
0.01072	-0.00341
0.01072	-0.00292
0.01072	-0.00792
0.01072	-0.00566
0.01072	-0.00550
0.01072	-0.00389
0.01072	-0.00550
0.01072	-0.00679
0.01072	-0.00888
0.01072	-0.00486
0.01072	-0.01081
0.01078	-0.00743
0.01078	-0.00614
0.01078	-0.00051
0.01078	-0.00840
0.01078	-0.00566
0.01078	-0.00276
0.01078	-0.00421
0.01078	-0.00518
0.01078	-0.00518
0.01078	-0.00437
0.01078	-0.00840
0.01083	-0.00421
0.01083	-0.00631
0.01083	-0.00341
0.01083	-0.00518
0.01083	-0.00598
0.01083	-0.00550
0.01083	-0.00518
0.01083	-0.00276
0.01083	-0.00775
0.01083	-0.00743
0.01089	-0.00566
0.01089	-0.00486
0.01089	-0.00840
0.01089	-0.00631
0.01089	-0.00775
0.01089	-0.00920
0.01089	-0.00904
0.01089	-0.00550
0.01089	-0.00518
0.01089	-0.00727
0.01089	-0.00550
0.01094	-0.00212
0.01094	-0.00808
0.01094	-0.00695
0.01094	-0.00582
0.01094	-0.00775
0.01094	-0.00614
0.01094	-0.00534
0.01094	-0.00872
0.01094	-0.00969
0.01094	-0.00470
0.01094	-0.00292
0.01100	-0.00421
0.01100	-0.00969
0.01100	-0.00614
0.01100	-0.00711
0.01100	-0.00453
0.01100	-0.00550
0.01100	-0.00518
0.01100	-0.00598
0.01100	-0.00470
0.01100	-0.00888
0.01106	-0.00470
0.01106	-0.00663
0.01106	-0.00566
0.01106	-0.00647
0.01106	-0.00502
0.01106	-0.00502
0.01106	-0.00614
0.01106	-0.00727
0.01106	-0.00534
0.01106	-0.00888
0.01111	-0.00486
0.01111	-0.00260
0.01111	-0.00775
0.01111	-0.00341
0.01111	-0.00437
0.01111	-0.00566
0.01111	-0.00920
0.01111	-0.00647
0.01111	-0.00647
0.01111	-0.00888
0.01111	-0.00856
0.01117	-0.00453
0.01117	-0.00502
0.01117	-0.00904
0.01117	-0.00566
0.01117	-0.00534
0.01117	-0.00953
0.01117	-0.00775
0.01117	-0.00695
0.01117	-0.00904
0.01117	-0.00357
0.01117	-0.00711
0.01122	-0.00888
0.01122	-0.00663
0.01122	-0.00389
0.01122	-0.00969
0.01122	-0.00614
0.01122	-0.00325
0.01122	-0.00534
0.01122	-0.00840
0.01122	-0.00341
0.01122	-0.00518
0.01128	-0.00759
0.01128	-0.01098
0.01128	-0.00437
0.01128	-0.00292
0.01128	-0.00437
0.01128	-0.00808
0.01128	-0.00920
0.01128	-0.00647
0.01128	-0.00518
0.01128	-0.00840
0.01133	-0.00663
0.01133	-0.00486
0.01133	-0.00421
0.01133	-0.00582
0.01133	-0.00405
0.01133	-0.00598
0.01133	-0.00502
0.01133	-0.01098
0.01133	-0.00679
0.01133	-0.00325
0.01133	-0.00308
0.01139	-0.00470
0.01139	-0.00695
0.01139	-0.00582
0.01139	-0.00405
0.01139	-0.00325
0.01139	-0.00550
0.01139	-0.00679
0.01139	-0.00325
0.01139	-0.00341
0.01139	-0.00647
0.01144	-0.00276
0.01144	-0.00196
0.01144	-0.00727
0.01144	-0.00647
0.01144	-0.00437
0.01144	-0.00325
0.01144	-0.00421
0.01144	-0.00518
0.01144	-0.00695
0.01144	-0.00631
0.01150	-0.00453
0.01150	-0.00437
0.01150	-0.00131
0.01150	-0.00292
0.01150	-0.00373
0.01150	-0.00180
0.01150	-0.00083
0.01150	-0.00695
0.01150	-0.00244
0.01150	-0.00437
0.01150	-0.00325
0.01156	-0.00373
0.01156	-0.00437
0.01156	-0.00308
0.01156	-0.00244
0.01156	-0.00051
0.01156	-0.00470
0.01156	-0.00292
0.01156	-0.00502
0.01156	-0.00260
0.01156	-0.00373
0.01161	-0.00518
0.01161	-0.00453
0.01161	-0.00228
0.01161	-0.00292
0.01161	-0.00067
0.01161	-0.00502
0.01161	-0.00051
0.01161	-0.00357
0.01161	0.00191
0.01161	-0.00534
0.01161	0.00030
0.01167	-0.00357
0.01167	-0.00083
0.01167	-0.00019
0.01167	-0.00164
0.01167	-0.00341
0.01167	-0.00147
0.01167	0.00432
0.01167	0.00175
0.01167	0.00336
0.01172	-0.00099
0.01172	0.00287
0.01172	0.00175
0.01172	-0.00131
0.01172	0.00046
0.01172	-0.00099
0.01172	-0.00164
0.01172	-0.00035
0.01172	-0.00051
0.01172	-0.00115
0.01172	0.00159
0.01178	0.00207
0.01178	0.00014
0.01178	0.00191
0.01178	0.00271
0.01178	0.00046
0.01178	0.00014
0.01178	0.00465
0.01178	0.00223
0.01178	0.00046
0.01178	0.00191
0.01178	0.00304
0.01183	0.00014
0.01183	0.00126
0.01183	0.00142
0.01183	-0.00019
0.01183	0.00191
0.01183	0.00046
0.01183	0.00368
0.01183	0.00255
0.01183	0.00255
0.01189	0.00046
0.01189	-0.00115
0.01189	0.00593
0.01189	0.00336
0.01189	0.00481
0.01189	0.00674
0.01189	0.00432
0.01189	0.00110
0.01189	0.00722
0.01189	0.00416
0.01194	0.00561
0.01194	0.00271
0.01194	0.00819
0.01194	0.00400
0.01194	0.00497
0.01194	0.01028
0.01194	0.00658
0.01194	0.00964
0.01194	0.00561
0.01194	0.00352
0.01194	0.00754
0.01200	0.00964
0.01200	0.00738
0.01200	0.00980
0.01200	0.00754
0.01200	0.01189
0.01200	0.00754
0.01200	0.00722
0.01200	0.00787
0.01200	0.00835
0.01200	0.00980
0.01200	0.01044
0.01206	0.00819
0.01206	0.01028
0.01206	0.00867
0.01206	0.00915
0.01206	0.01205
0.01206	0.00690
0.01206	0.00803
0.01206	0.01093
0.01206	0.00706
0.01206	0.01044
0.01211	0.01238
0.01211	0.00819
