Black Body Radiation Experiment Wed, Sep 23, 2020 3:08 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00858
0.00000	-0.01051
0.00000	-0.00761
0.00000	-0.00632
0.00000	-0.00938
0.00000	-0.00955
0.00000	-0.00890
0.00000	-0.01212
0.00000	-0.01003
0.00000	-0.00922
0.00000	-0.00874
0.00000	-0.00713
0.00000	-0.01293
0.00000	-0.00777
0.00000	-0.01293
0.00000	-0.00681
0.00000	-0.00761
0.00000	-0.01019
0.00000	-0.00568
0.00000	-0.01196
0.00000	-0.01164
0.00000	-0.00906
0.00000	-0.00906
0.00000	-0.00874
0.00000	-0.00745
0.00000	-0.00745
0.00000	-0.01019
0.00000	-0.00955
0.00000	-0.01019
0.00000	-0.00890
0.00000	-0.01132
0.00000	-0.00729
0.00000	-0.01148
0.00000	-0.00955
0.00000	-0.01100
0.00000	-0.00842
0.00000	-0.00600
0.00000	-0.01019
0.00000	-0.01019
0.00000	-0.00826
0.00000	-0.00955
0.00000	-0.01051
0.00000	-0.00987
0.00000	-0.01132
0.00000	-0.01164
0.00000	-0.00729
0.00000	-0.01035
0.00000	-0.01390
0.00000	-0.00697
0.00000	-0.00842
0.00000	-0.00874
0.00000	-0.01325
0.00000	-0.01245
0.00000	-0.01261
0.00000	-0.01035
0.00000	-0.01293
0.00000	-0.00826
0.00000	-0.01003
0.00000	-0.00729
0.00000	-0.00874
0.00000	-0.00938
0.00000	-0.00649
0.00000	-0.00971
0.00000	-0.01180
0.00000	-0.01196
0.00000	-0.01035
0.00000	-0.00890
0.00000	-0.01309
0.00000	-0.00874
0.00000	-0.01245
0.00000	-0.00826
0.00000	-0.00616
0.00000	-0.00955
0.00000	-0.01293
0.00000	-0.00632
0.00000	-0.01132
0.00000	-0.01309
0.00000	-0.00745
0.00000	-0.00874
0.00000	-0.00616
0.00000	-0.00552
0.00000	-0.00632
0.00000	-0.00890
0.00000	-0.00761
0.00000	-0.01100
0.00000	-0.01228
0.00000	-0.01551
0.00000	-0.00810
0.00000	-0.00987
0.00000	-0.00987
0.00000	-0.01035
0.00000	-0.00745
0.00000	-0.00890
0.00000	-0.01019
0.01035	-0.01083
0.01035	-0.00906
0.01035	-0.01035
0.01035	-0.00632
0.01035	-0.01035
0.01035	-0.01245
0.01035	-0.00826
0.01035	-0.00874
0.01035	-0.00681
0.01035	-0.00745
0.01035	-0.00858
0.01035	-0.00810
0.01035	-0.01567
0.01035	-0.01116
0.01035	-0.01293
0.01035	-0.00632
0.01035	-0.00810
0.01035	-0.01261
0.01035	-0.00681
0.01035	-0.00826
0.01035	-0.01341
0.01035	-0.00890
0.01035	-0.00874
0.00000	-0.00874
0.00000	-0.01083
0.00000	-0.00987
0.00000	-0.01019
0.00000	-0.01003
0.00000	-0.01083
0.00000	-0.01228
0.00000	-0.00761
0.00000	-0.00955
0.00000	-0.00729
0.00000	-0.00810
0.00000	-0.00874
0.00000	-0.00520
0.00000	-0.00874
0.00000	-0.01325
0.01035	-0.01357
0.01035	-0.00874
0.01035	-0.01245
0.01035	-0.00938
0.01035	-0.00761
0.01035	-0.00552
0.01035	-0.00874
0.01035	-0.01051
0.02070	-0.00987
0.02070	-0.01051
0.03104	-0.00874
0.05174	-0.01035
0.06209	-0.00777
0.06209	-0.01083
0.05174	-0.01293
0.05174	-0.00906
0.05174	-0.00906
0.06209	-0.01067
0.06209	-0.00826
0.06209	-0.01164
0.06209	-0.01116
0.06209	-0.00649
0.06209	-0.00810
0.05174	-0.01019
0.05174	-0.01035
0.05174	-0.00729
0.05174	-0.00874
0.06209	-0.01148
0.06209	-0.01083
0.06209	-0.00681
0.06209	-0.00890
0.06209	-0.01148
0.06209	-0.00874
0.06209	-0.01148
0.06209	-0.01148
0.05174	-0.00665
0.05174	-0.00713
0.05174	-0.00713
0.05174	-0.00874
0.05174	-0.00729
0.05174	-0.01035
0.04139	-0.00632
0.04139	-0.00955
0.03104	-0.01019
0.03104	-0.01293
0.03104	-0.00713
0.02070	-0.01100
0.02070	-0.01454
0.02070	-0.00906
0.02070	-0.01180
0.02070	-0.00906
0.02070	-0.01357
0.02070	-0.01261
0.01035	-0.00713
0.01035	-0.00632
0.01035	-0.01438
0.01035	-0.00826
0.01035	-0.00777
0.01035	-0.00842
0.01035	-0.00906
0.00000	-0.00874
0.00000	-0.01228
0.00000	-0.01357
0.00000	-0.00955
0.00000	-0.00890
0.00000	-0.01116
0.00000	-0.01148
0.00000	-0.00955
-0.01035	-0.00858
-0.01035	-0.01164
-0.01035	-0.01470
-0.01035	-0.01035
-0.01035	-0.01132
-0.01035	-0.01583
-0.01035	-0.01019
-0.01035	-0.01164
-0.01035	-0.00938
-0.01035	-0.00955
-0.01035	-0.01003
-0.01035	-0.00890
-0.01035	-0.00987
-0.01035	-0.01341
-0.01035	-0.01019
-0.01035	-0.00987
-0.01035	-0.00906
-0.01035	-0.01309
-0.01035	-0.01212
-0.01035	-0.01051
0.00000	-0.01067
0.00000	-0.01228
0.00000	-0.00600
0.00000	-0.01051
0.01035	-0.01019
0.01035	-0.01373
0.02070	-0.01293
0.02070	-0.01390
0.03104	-0.00922
0.04139	-0.00906
0.06209	-0.01245
0.07244	-0.01406
0.09313	-0.01438
0.11383	-0.00890
0.15522	-0.00761
0.18627	-0.01293
0.21731	-0.00955
0.25870	-0.00810
0.28975	-0.00858
0.32079	-0.01051
0.36219	-0.01470
0.40358	-0.01196
0.44497	-0.01003
0.48637	-0.01132
0.53811	-0.00971
0.60020	-0.00955
0.65194	-0.01261
0.70368	-0.01422
0.76577	-0.00729
0.82786	-0.01100
0.88994	-0.01261
0.96238	-0.00777
1.04517	-0.00745
1.09691	-0.01083
1.14865	-0.01245
1.19004	-0.00874
1.22109	-0.00842
1.26248	-0.00681
1.30387	-0.01325
1.35561	-0.00906
1.40735	-0.01277
1.45910	-0.00987
1.50049	-0.00906
1.54188	-0.01132
1.59362	-0.01083
1.63501	-0.01341
1.68676	-0.00858
1.74885	-0.00874
1.81093	-0.01325
1.87302	-0.00938
1.93511	-0.01003
1.98685	-0.00858
2.04894	-0.01067
2.12138	-0.01148
2.19382	-0.00987
2.25591	-0.01019
2.29730	-0.00729
2.32834	-0.00922
2.36974	-0.01309
2.40078	-0.01148
2.43183	-0.00858
2.47322	-0.01180
2.51461	-0.01518
2.55600	-0.00552
2.59740	-0.00922
2.63879	-0.00842
2.68018	-0.00665
2.71123	-0.00745
2.75262	-0.01373
2.79401	-0.01245
2.83541	-0.01309
2.88715	-0.00600
2.93889	-0.01390
2.99063	-0.01180
3.04237	-0.00745
3.09411	-0.01164
3.14585	-0.01245
3.19759	-0.01196
3.25968	-0.00777
3.31142	-0.00938
3.37351	-0.00649
3.41490	-0.00810
3.45630	-0.01245
3.49769	-0.00922
3.53908	-0.01035
3.58048	-0.01631
3.63222	-0.01003
3.70465	-0.01083
3.75640	-0.00890
3.79779	-0.01100
3.85988	-0.01132
3.90127	-0.00955
3.95301	-0.01325
4.01510	-0.01116
4.06684	-0.01051
4.11858	-0.01245
4.18067	-0.00955
4.23241	-0.00874
4.28415	-0.01196
4.33589	-0.01228
4.39798	-0.00938
4.46007	-0.01067
4.53251	-0.01325
4.60495	-0.00922
4.66704	-0.01051
4.72913	-0.01309
4.78087	-0.00922
4.83261	-0.01116
4.87400	-0.00955
4.91539	-0.00794
4.95679	-0.01051
4.98783	-0.00729
5.02922	-0.00874
5.08096	-0.00971
5.15340	-0.00729
5.21549	-0.00906
5.27758	-0.00955
5.35002	-0.00971
5.40176	-0.00874
5.45350	-0.00922
5.49489	-0.01083
5.54663	-0.00810
5.58803	-0.01180
5.63977	-0.01051
5.68116	-0.00777
5.73290	-0.01035
5.77429	-0.00745
5.82603	-0.00745
5.87778	-0.00504
5.91917	-0.00874
5.97091	-0.00826
6.02265	-0.01067
6.08474	-0.00971
6.14683	-0.00874
6.21927	-0.00697
6.29170	-0.00568
6.36414	-0.00761
6.43658	-0.00826
6.50902	-0.00810
6.58145	-0.00955
6.63319	-0.00681
6.68493	-0.00971
6.72633	-0.01067
6.77807	-0.01083
6.81946	-0.00600
6.86085	-0.01132
6.91259	-0.00922
6.95399	-0.00955
7.00573	-0.01083
7.04712	-0.00455
7.09886	-0.00729
7.18165	-0.00697
7.23339	-0.00906
7.29548	-0.00938
7.34722	-0.00938
7.38861	-0.00842
7.41966	-0.00890
7.44035	-0.00906
7.48175	-0.00842
7.51279	-0.00922
7.54383	-0.00987
7.58523	-0.00616
7.61627	-0.01212
7.65767	-0.01164
7.68871	-0.00938
7.71975	-0.01212
7.76115	-0.00761
7.80254	-0.01019
7.83358	-0.00842
7.87498	-0.00890
7.91637	-0.01019
7.94741	-0.01100
7.99916	-0.01035
8.05090	-0.00761
8.10264	-0.01051
