Black Body Radiation Experiment Wed, Sep 23, 2020 3:02 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02936
0.00000	-0.01970
0.00000	-0.02453
0.00000	-0.02662
0.00000	-0.02050
0.00000	-0.02421
0.00000	-0.02372
0.00000	-0.02404
0.00000	-0.02372
0.00000	-0.02630
0.00000	-0.02276
0.00000	-0.02630
0.00000	-0.02582
0.00000	-0.02485
0.00000	-0.02437
0.00000	-0.02437
0.00000	-0.02453
0.00000	-0.02598
0.00000	-0.02147
0.00000	-0.02211
0.00000	-0.02195
0.00000	-0.02549
0.00000	-0.02727
0.00000	-0.02549
0.00000	-0.02598
0.00000	-0.02839
0.00000	-0.02453
0.00000	-0.02340
0.00000	-0.02002
0.00000	-0.02582
0.00000	-0.02501
0.00000	-0.02372
0.00000	-0.02292
0.00000	-0.02453
0.00000	-0.02259
0.00000	-0.02179
0.00000	-0.02082
0.00000	-0.02179
0.00000	-0.02259
0.00000	-0.01776
0.00000	-0.02485
0.00000	-0.02179
0.00000	-0.02404
0.00000	-0.02372
0.00000	-0.02356
0.00000	-0.02292
0.00000	-0.02517
0.00000	-0.02147
0.00000	-0.02179
0.00000	-0.02115
0.00000	-0.02759
0.00000	-0.02501
0.00000	-0.02259
0.00000	-0.02372
0.00000	-0.02324
0.00000	-0.02179
0.00000	-0.02018
0.00000	-0.02034
0.00000	-0.02501
0.00000	-0.02533
0.00000	-0.02662
0.00000	-0.02549
0.00000	-0.02662
0.00000	-0.02501
0.00000	-0.01808
0.00000	-0.02372
0.00000	-0.02388
0.00000	-0.02501
0.00000	-0.02308
0.00000	-0.02308
0.00000	-0.02163
0.00000	-0.02324
0.00000	-0.02002
0.00000	-0.02227
0.00000	-0.02340
0.00000	-0.02211
0.00000	-0.01696
0.00000	-0.02098
0.00000	-0.01905
0.00000	-0.02243
0.00000	-0.02485
0.00000	-0.02050
0.00000	-0.02115
0.00000	-0.01873
0.00000	-0.02034
0.00000	-0.02388
0.00000	-0.02308
0.00000	-0.02501
0.00000	-0.02163
0.00000	-0.02115
0.00000	-0.01986
0.00000	-0.02050
0.00000	-0.01889
0.00000	-0.02131
0.00000	-0.02517
0.00000	-0.02131
0.00000	-0.02227
0.00000	-0.02324
0.00000	-0.02115
0.00000	-0.02372
0.00000	-0.02340
0.00000	-0.02469
0.00000	-0.02034
0.00000	-0.02179
0.00000	-0.02388
0.00000	-0.02034
0.00000	-0.01825
0.00000	-0.02421
0.00000	-0.02517
0.00000	-0.02227
0.00000	-0.02308
0.00000	-0.02195
0.00000	-0.01873
0.00000	-0.02211
0.00000	-0.02098
0.00000	-0.02340
0.00000	-0.02404
0.00000	-0.01986
0.00000	-0.02372
0.00000	-0.02404
0.00000	-0.02372
0.00000	-0.02259
0.00000	-0.02211
0.00000	-0.02437
0.00000	-0.02662
0.00000	-0.02356
0.00000	-0.02630
0.00000	-0.02437
0.00000	-0.02115
0.00000	-0.01986
0.00000	-0.02082
0.00000	-0.02131
0.00000	-0.02195
0.00000	-0.02211
0.00000	-0.01776
0.00000	-0.02517
0.00000	-0.02211
0.00000	-0.02195
0.00000	-0.02082
0.00000	-0.02566
0.00000	-0.02211
0.00000	-0.02404
0.00000	-0.02292
0.00000	-0.02018
0.00000	-0.02050
0.00000	-0.02211
0.00000	-0.02082
